gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2898505117,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62525058,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.605409,170.667953,4.0,,,,,,2020-10-09T21:46,9,10,2020,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,62525058,,Aalbert Rebergen,2020-10-14 00:27:28,CC_BY_NC_4_0,Aalbert Rebergen,Aalbert Rebergen,,,2026-06-23 20:20:23.921000+02:00,StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4458414169,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/192706488,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Wellington,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-41.259931,174.928609,6.0,,,,,,2023-11-30T23:21:10,30,11,2023,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,192706488,,Noah,2023-12-01 08:47:44,CC_BY_NC_4_0,Noah,Noah,,,2026-06-23 20:49:54.266000+02:00,StillImage;StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1802649464,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/9028295,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.844544,170.65554,543.0,,,,,,2017-12-03T21:00,3,12,2017,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,9028295,,Possums' End,2017-12-05 07:17:21,CC_BY_4_0,Possums' End,Possums' End,,,2026-06-23 20:59:32.381000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4424654653,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/186843119,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Wellington,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-41.259843,174.928579,17.0,,,,,,2023-10-09T23:11:50,9,10,2023,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,186843119,,Noah,2023-10-09 12:58:12,CC_BY_NC_4_0,Noah,Noah,,,2026-06-23 20:34:44.624000+02:00,StillImage;StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5828024494,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/312051926,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Southland,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-46.435633,168.282044,5.0,,,,,,2025-08-26T18:43,26,8,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,312051926,,Maurice Rodway,2025-09-06 22:46:13,CC_BY_NC_4_0,Maurice Rodway,Maurice Rodway,,,2026-06-23 20:28:25.709000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2984357897,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/64627235,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.605309,170.667826,2.0,,,,,,2020-10-20T21:24,20,10,2020,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,64627235,,Aalbert Rebergen,2020-11-10 22:06:26,CC_BY_NC_4_0,Aalbert Rebergen,Aalbert Rebergen,,,2026-06-23 20:43:34.500000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5063110759,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/258819335,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Taranaki,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-39.315934,174.147248,,,,,,,2025-01-14T22:06,14,1,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,258819335,,Carey_Knox_Southern_Scales,2025-01-18 10:00:24,CC_BY_NC_4_0,Carey_Knox_Southern_Scales,Carey_Knox_Southern_Scales,,,2026-06-23 21:03:00.378000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4919669041,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/231775341,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Hawke's Bay,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-39.770124,176.474631,199.0,,,,,,2024-06-16T21:06:37,16,6,2024,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,231775341,,Ryan Bauckham,2024-07-26 07:34:48,CC_BY_NC_4_0,Ryan Bauckham,Ryan Bauckham,,,2026-06-23 20:35:47.450000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5760185726,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/307831601,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2025-08-20T18:49,20,8,2025,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,307831601,,Luca Nikkel,2025-08-20 21:24:06,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:59:28.449000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3335156924,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/89400339,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Asaphodes,Asaphodes beata,,SPECIES,"Asaphodes beata (Butler, 1877)",Asaphodes beata,,NZ,,Otago,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.813062,170.593357,115.0,,,,,,2021-07-31T07:46,31,7,2021,95Z48,95Z48,HUMAN_OBSERVATION,iNaturalist,Observations,89400339,,Luca Nikkel,2021-07-31 23:06:50,CC_BY_NC_4_0,Luca Nikkel,Luca Nikkel,,,2026-06-23 20:48:15.664000+02:00,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
