Event,Sample ID,Month,Date/Time,Temp,Sal,E. fimbriata oocyte dm,E. fimbriata oocyte vol,Lipids,Protein,Lipid oocyte,Protein oocyte,Calorific oocyte,Oocyte E cont,Spawning batch E cont,E. fimbriata Ba/Ca,E. fimbriata Sr/Ca,E. fimbriata Zn/Ca,Latitude,Longitude
Foundiougne,1,February,2014-01-01,21.6,39,38.4,,,,,,,,,,,,14.13441,-16.47588
Foundiougne,2,February,2014-01-01,21.6,39,35.3,,,,,,,,,,,,14.13441,-16.47588
Djifer,3,February,2014-01-01,20.7,39,27.0,0.4,4.6,,1.3,12.4,10.9,0.3,59.3,,,,13.95406,-16.75277
Djifer,4,February,2014-01-01,20.7,39,33.4,0.3,3.0,,1.0,,,,,,,,13.95406,-16.75277
Djifer,5,February,2014-01-01,20.7,39,29.0,,,,,,,,,,,,13.95406,-16.75277
Djifer,6,February,2014-01-01,20.7,39,38.5,,,,,,,,,,,,13.95406,-16.75277
Foundiougne,7,March,2014-01-01,22.7,42,43.6,,1.9,60.7,0.8,26.5,14.4,0.7,3.9,,,,14.13441,-16.47588
Foundiougne,8,March,2014-01-01,22.7,42,56.4,0.4,4.2,52.9,2.3,29.8,12.6,0.8,107.8,,,,14.13441,-16.47588
Foundiougne,9,March,2014-01-01,22.7,42,48.0,,,53.4,,25.6,13.1,1.0,171.7,,,,14.13441,-16.47588
Foundiougne,10,March,2014-01-01,22.7,42,39.8,0.3,,61.5,,24.5,14.7,0.7,143.6,,,,14.13441,-16.47588
Foundiougne,11,March,2014-01-01,22.7,42,36.9,0.5,,56.9,,21.0,13.6,0.6,176.9,,,,14.13441,-16.47588
Foundiougne,12,March,2014-01-01,22.7,42,53.8,,,,,,,,,,,,14.13441,-16.47588
Foundiougne,13,March,2014-01-01,22.7,42,42.7,0.3,,,,17.2,,0.6,141.1,,,,14.13441,-16.47588
Foundiougne,14,March,2014-01-01,22.7,42,43.7,,4.8,,,,,,,,,,14.13441,-16.47588
Foundiougne,15,March,2014-01-01,22.7,42,53.5,,,,,22.2,,,,,,,14.13441,-16.47588
Foundiougne,16,March,2014-01-01,22.7,42,49.0,0.3,,56.4,,27.6,13.5,0.8,41.6,,,,14.13441,-16.47588
Djifer,17,March,2014-01-01,20.7,37,30.0,,,,,,,,,10.84,1342.0,0.655,13.95406,-16.75277
Djifer,18,March,2014-01-01,20.7,37,30.1,,56.0,64.0,,19.3,15.8,135.9,135.9,5.79,3720.0,0.605,13.95406,-16.75277
Joal,19,March,2014-01-01,18.6,37,39.8,,,,,,,,,,,,14.18116,-16.85028
Joal,20,March,2014-01-01,18.6,37,41.2,,46.0,56.4,,23.2,14.1,,78.7,55.36,1513.0,0.726,14.18116,-16.85028
Joal,21,March,2014-01-01,18.6,37,31.6,,,62.4,,19.7,,,,24.22,1373.0,1.66,14.18116,-16.85028
Joal,22,March,2014-01-01,18.6,37,33.7,0.3,11.4,65.9,,22.2,15.7,0.7,27.5,23.41,1272.0,0.612,14.18116,-16.85028
