File name,File format,File size,URL file
MITAPI_20152010DIFF_AGR_01x01,nc,21692,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_AGR_01x01.nc
MITAPI_20152010DIFF_ENE_01x01,nc,1509,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_ENE_01x01.nc
MITAPI_20152010DIFF_IND_01x01,nc,6165,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_IND_01x01.nc
MITAPI_20152010DIFF_PPA_01x01,nc,19248,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_PPA_01x01.nc
MITAPI_20152010DIFF_PRO_01x01,nc,10571,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_PRO_01x01.nc
MITAPI_20152010DIFF_RCO_01x01,nc,30650,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_RCO_01x01.nc
MITAPI_20152010DIFF_REF_01x01,nc,287,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_REF_01x01.nc
MITAPI_20152010DIFF_SHIP_01x01,nc,21017,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_SHIP_01x01.nc
MITAPI_20152010DIFF_SWD_01x01,nc,8849,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_SWD_01x01.nc
MITAPI_20152010DIFF_TNG_01x01,nc,10700,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_TNG_01x01.nc
MITAPI_20152010DIFF_TRF_01x01,nc,2958,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_TRF_01x01.nc
MITAPI_20152010DIFF_TRO_01x01,nc,10477,https://store.pangaea.de/Publications/Dasadhikari-etal_2019/MITAPI_20152010DIFF_TRO_01x01.nc
