Latitude,Longitude,Elevation,Date/Time,HRMS,VRMS,Status,Description,Event
49.5570529,-125.9357409,4.16,2011-03-20 05:21:00,0.011,0.011,FIXED,TESTON MON AM,Elwha_River_Delta
49.5554343,-125.9387873,2.79,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.555434,-125.9387869,2.78,2011-03-20 05:30:00,0.027,0.022,FIXED,PROF132,Elwha_River_Delta
49.5554345,-125.9387874,2.79,2011-03-20 05:30:00,0.027,0.022,FIXED,PROF132,Elwha_River_Delta
49.5554303,-125.9387789,2.93,2011-03-20 05:30:00,0.033,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554256,-125.9387649,3.12,2011-03-20 05:30:00,0.033,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554251,-125.9387617,3.21,2011-03-20 05:30:00,0.032,0.04,FIXED,PROF132,Elwha_River_Delta
49.5554249,-125.9387553,3.31,2011-03-20 05:30:00,0.032,0.04,FIXED,PROF132,Elwha_River_Delta
49.5554238,-125.9387503,3.41,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554152,-125.9387267,3.64,2011-03-20 05:30:00,0.033,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554122,-125.9387158,4.12,2011-03-20 05:30:00,0.033,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554068,-125.9387053,4.35,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5554028,-125.9387021,4.35,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5553935,-125.9386948,4.53,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5553884,-125.9386917,4.47,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5553838,-125.9386891,4.6,2011-03-20 05:30:00,0.033,0.043,FIXED,PROF132,Elwha_River_Delta
49.5553761,-125.9386799,4.81,2011-03-20 05:30:00,0.041,0.053,FIXED,PROF132,Elwha_River_Delta
49.5553724,-125.9386738,5.12,2011-03-20 05:30:00,0.041,0.053,FIXED,PROF132,Elwha_River_Delta
49.5553651,-125.9386546,4.73,2011-03-20 05:30:00,0.037,0.048,FIXED,PROF132,Elwha_River_Delta
49.5553583,-125.9386466,4.75,2011-03-20 05:30:00,0.032,0.039,FIXED,PROF132,Elwha_River_Delta
49.555358,-125.9386458,4.8,2011-03-20 05:30:00,0.032,0.039,FIXED,PROF132,Elwha_River_Delta
49.5553359,-125.9386288,4.67,2011-03-20 05:30:00,0.039,0.051,FIXED,PROF132,Elwha_River_Delta
49.5553274,-125.9386234,4.6,2011-03-20 05:30:00,0.032,0.042,FIXED,PROF132,Elwha_River_Delta
49.5553194,-125.9386168,4.55,2011-03-20 05:30:00,0.045,0.059,FIXED,PROF132,Elwha_River_Delta
49.5554135,-125.9387221,3.59,2011-03-20 05:50:00,0.025,0.03,FIXED,PROF132,Elwha_River_Delta
49.5554134,-125.9387221,3.59,2011-03-20 05:50:00,0.026,0.018,FIXED,PROF132,Elwha_River_Delta
49.5554132,-125.9387212,3.61,2011-03-20 05:50:00,0.024,0.018,FIXED,PROF132,Elwha_River_Delta
49.5554118,-125.9387178,4.08,2011-03-20 05:50:00,0.025,0.029,FIXED,PROF132,Elwha_River_Delta
49.5554081,-125.9387112,4.32,2011-03-20 05:50:00,0.027,0.036,FIXED,PROF132,Elwha_River_Delta
49.5554046,-125.9387037,4.37,2011-03-20 05:50:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5553989,-125.9386923,4.42,2011-03-20 05:50:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5553968,-125.9386879,4.42,2011-03-20 05:50:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.555392,-125.9386813,4.83,2011-03-20 05:50:00,0.026,0.033,FIXED,PROF132,Elwha_River_Delta
49.5553893,-125.9386708,4.98,2011-03-20 05:50:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553869,-125.9386628,5.09,2011-03-20 05:50:00,0.026,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553844,-125.9386589,5.15,2011-03-20 05:50:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5553808,-125.9386538,5.0,2011-03-20 05:50:00,0.026,0.033,FIXED,PROF132,Elwha_River_Delta
49.5553738,-125.9386461,4.66,2011-03-20 05:50:00,0.025,0.032,FIXED,PROF132,Elwha_River_Delta
49.555369,-125.9386348,4.54,2011-03-20 05:50:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553657,-125.9386284,4.58,2011-03-20 05:50:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553648,-125.9386235,4.58,2011-03-20 05:50:00,0.027,0.032,FIXED,PROF132,Elwha_River_Delta
49.5553579,-125.9386152,4.56,2011-03-20 05:50:00,0.029,0.035,FIXED,PROF132,Elwha_River_Delta
49.5553539,-125.9386161,4.32,2011-03-20 05:51:00,0.026,0.034,FIXED,PROF132,Elwha_River_Delta
49.5553494,-125.9386195,4.53,2011-03-20 05:51:00,0.026,0.033,FIXED,PROF132,Elwha_River_Delta
49.55534,-125.9386131,4.55,2011-03-20 05:51:00,0.027,0.034,FIXED,PROF132,Elwha_River_Delta
49.5553331,-125.9386081,4.56,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553294,-125.9386057,4.62,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553266,-125.9386028,4.65,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5553104,-125.9385926,4.57,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.555304,-125.9385864,4.63,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552971,-125.9385809,4.65,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552928,-125.9385773,4.56,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552878,-125.9385703,4.54,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552785,-125.9385571,4.4,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552604,-125.9385332,3.62,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552566,-125.938527,3.56,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552505,-125.9385119,3.21,2011-03-20 05:51:00,0.026,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552413,-125.9384925,2.91,2011-03-20 05:51:00,0.024,0.03,FIXED,PROF132,Elwha_River_Delta
49.5552388,-125.9384874,2.85,2011-03-20 05:51:00,0.024,0.03,FIXED,PROF132,Elwha_River_Delta
49.5552357,-125.9384827,2.77,2011-03-20 05:51:00,0.025,0.03,FIXED,PROF132,Elwha_River_Delta
49.55523,-125.9384731,2.59,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5552248,-125.938465,2.35,2011-03-20 05:51:00,0.025,0.032,FIXED,PROF132,Elwha_River_Delta
49.5552218,-125.9384604,2.27,2011-03-20 05:51:00,0.025,0.032,FIXED,PROF132,Elwha_River_Delta
49.5552184,-125.9384555,2.23,2011-03-20 05:51:00,0.03,0.038,FIXED,PROF132,Elwha_River_Delta
49.5551976,-125.9384305,1.79,2011-03-20 05:51:00,0.03,0.038,FIXED,PROF132,Elwha_River_Delta
49.5551857,-125.9384154,1.6,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551779,-125.9384056,1.49,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551739,-125.9384011,1.42,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551669,-125.9383919,1.29,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551628,-125.9383875,1.21,2011-03-20 05:51:00,0.025,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551542,-125.9383774,1.11,2011-03-20 05:52:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5551502,-125.9383725,1.04,2011-03-20 05:52:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5551461,-125.938367,0.98,2011-03-20 05:52:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5551421,-125.938362,0.93,2011-03-20 05:52:00,0.026,0.032,FIXED,PROF132,Elwha_River_Delta
49.5551341,-125.9383522,0.84,2011-03-20 05:52:00,0.024,0.031,FIXED,PROF132,Elwha_River_Delta
49.5551302,-125.9383473,0.73,2011-03-20 05:52:00,0.024,0.031,FIXED,PROF132,Elwha_River_Delta
