Height,Date/Time,Date/time end,Time min,dN/dlogDp(92.87),dN/dlogDp(98.89),dN/dlogDp(105.29),dN/dlogDp(112.11),dN/dlogDp(119.38),dN/dlogDp(127.11),dN/dlogDp(135.34),dN/dlogDp(144.11),dN/dlogDp(153.45),dN/dlogDp(163.39),dN/dlogDp(173.97),dN/dlogDp(185.24),dN/dlogDp(197.25),dN/dlogDp(210.03),dN/dlogDp(223.63),dN/dlogDp(238.12),dN/dlogDp(253.55),dN/dlogDp(269.97),dN/dlogDp(287.46),dN/dlogDp(306.08),dN/dlogDp(325.91),dN/dlogDp(347.02),dN/dlogDp(369.51),dN/dlogDp(393.45),dN/dlogDp(418.93),dN/dlogDp(446.08),dN/dlogDp(474.98),dN/dlogDp(505.75),dN/dlogDp(538.51),dN/dlogDp(573.40),dN/dlogDp(610.54),dN/dlogDp(650.09),dN/dlogDp(692.21),dN/dlogDp(737.05),dN/dlogDp(784.80),dN/dlogDp(835.64),dN/dlogDp(889.78),dN/dlogDp(947.42),dN/dlogDp(1008.8),dN/dlogDp(1074.15),dN/dlogDp(1143.74),dN/dlogDp(1217.84),dN/dlogDp(1296.74),dN/dlogDp(1380.74),dN/dlogDp(1470.19),dN/dlogDp(1565.43),dN/dlogDp(1666.85),dN/dlogDp(1774.83),dN/dlogDp(1889.81),dN/dlogDp(2012.24),dN/dlogDp(2142.60),dN/dlogDp(2281.41),dN/dlogDp(2429.21),dN/dlogDp(2586.58),dN/dlogDp(2754.15),dN/dlogDp(2932.57),dN/dlogDp(3122.55),dN/dlogDp(3324.84),dN/dlogDp(3540.24),dN/dlogDp(3769.59),dN/dlogDp(4013.80),dN/dlogDp(4273.82),dN/dlogDp(4550.70),dN/dlogDp(4845.51),Event,Latitude,Longitude,Elevation
7,2018-01-01 00:25:00,2018-01-01T01:30,65,258.84,312.68,370.69,415.6,459.0,504.88,552.84,596.7,634.84,636.31,602.42,543.07,461.29,377.21,309.63,245.01,179.61,122.31,79.14,45.13,29.46,18.03,10.93,6.65,3.22,1.79,1.85,1.95,1.46,1.12,0.78,0.76,0.43,0.29,0.35,0.23,0.25,0.31,0.11,0.01,0.08,0.01,0.04,0.01,0.06,0.02,0.02,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 01:30:00,2018-01-01T02:30,60,261.96,301.62,344.94,388.06,422.31,460.01,500.59,555.76,601.16,609.25,600.37,563.65,514.6,423.61,341.32,256.76,177.22,114.18,69.49,41.25,24.44,16.9,13.14,8.96,5.37,2.99,3.05,2.73,2.86,2.37,2.17,1.44,1.34,0.86,0.55,0.6,0.57,0.62,0.17,0.09,0.17,0.07,0.09,0.06,0.07,0.01,0.15,0.16,0.07,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 02:30:00,2018-01-01T03:25,55,192.49,229.84,270.94,309.11,362.36,418.83,484.16,550.12,599.53,629.16,625.63,602.57,563.78,481.69,399.47,304.22,213.57,131.72,78.73,46.54,28.71,18.04,13.13,9.92,5.28,3.21,3.07,3.03,3.37,2.79,1.82,1.64,1.2,0.96,0.68,0.64,0.59,0.71,0.32,0.1,0.07,0.15,0.07,0.1,0.17,0.05,0.2,0.08,0.07,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 03:25:00,2018-01-01T04:30,65,226.19,279.49,326.73,361.96,401.6,439.89,489.42,533.3,567.32,587.1,570.42,539.23,504.19,429.98,362.4,285.61,200.9,130.99,79.34,47.68,26.26,17.19,11.86,7.96,4.52,2.4,2.3,2.4,2.51,2.3,1.32,1.23,1.15,0.79,0.59,0.7,0.51,0.49,0.21,0.11,0.12,0.07,0.09,0.06,0.1,0.04,0.15,0.12,0.06,0.04,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 04:30:00,2018-01-01T05:30,60,288.94,347.69,388.85,424.27,448.14,473.51,486.66,505.33,516.43,499.98,466.26,424.5,388.08,325.8,266.81,206.85,148.45,95.32,59.34,35.71,20.34,12.88,9.82,6.36,3.53,2.14,2.12,2.36,1.96,2.05,1.3,1.28,0.94,0.41,0.62,0.52,0.46,0.53,0.33,0.15,0.15,0.09,0.04,0.12,0.05,0.07,0.09,0.1,0.06,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 05:30:00,2018-01-01T06:25,55,373.91,412.29,419.46,411.53,416.97,423.08,438.23,441.64,434.26,417.01,380.06,344.12,303.55,245.88,194.86,144.91,100.79,64.89,39.9,22.93,14.17,10.83,8.4,6.51,3.12,2.07,2.08,1.96,2.2,2.02,1.45,1.29,1.0,1.04,0.53,0.55,0.49,0.63,0.3,0.16,0.14,0.12,0.09,0.09,0.07,0.06,0.19,0.07,0.06,0.05,0.05,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 06:25:00,2018-01-01T07:25,60,405.37,444.75,444.75,435.35,427.1,423.45,426.29,424.04,422.35,389.36,351.41,307.63,262.71,208.24,157.87,113.82,76.07,48.81,29.92,17.5,11.81,8.86,7.95,6.13,3.18,2.02,2.13,2.15,2.19,1.83,1.32,1.37,1.02,0.75,0.63,0.79,0.7,0.7,0.37,0.14,0.11,0.14,0.1,0.13,0.12,0.06,0.11,0.16,0.06,0.05,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 07:25:00,2018-01-01T08:25,60,403.23,438.39,442.29,423.13,414.67,408.88,401.16,396.66,384.07,358.11,321.84,279.08,234.57,179.66,132.82,94.22,61.51,39.43,24.07,13.63,8.95,7.12,6.57,4.68,2.77,1.94,1.98,1.93,1.74,1.49,1.4,1.19,0.95,0.76,0.72,0.64,0.54,0.73,0.42,0.09,0.07,0.07,0.14,0.09,0.17,0.05,0.16,0.07,0.15,0.04,0.09,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 08:25:00,2018-01-01T09:25,60,403.5,414.87,411.58,389.39,370.77,353.04,341.93,326.33,303.33,275.53,243.56,208.74,168.39,128.32,93.81,67.04,42.48,27.38,16.51,9.74,7.24,5.49,5.06,4.55,2.74,1.37,1.55,1.52,1.45,1.17,0.81,0.84,0.64,0.47,0.4,0.49,0.52,0.51,0.29,0.02,0.12,0.14,0.04,0.1,0.09,0.03,0.07,0.09,0.05,0.04,0.05,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 09:25:00,2018-01-01T10:30,65,400.87,399.43,385.06,361.89,348.84,331.54,314.58,298.72,277.78,244.85,212.36,181.55,145.77,107.21,75.76,51.34,32.57,20.1,13.4,7.9,5.71,4.71,4.1,3.74,2.27,1.01,1.23,1.32,1.43,1.13,1.08,0.75,0.69,0.43,0.31,0.32,0.46,0.48,0.2,0.06,0.11,0.06,0.05,0.1,0.06,0.04,0.11,0.04,0.1,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 10:30:00,2018-01-01T11:30,60,393.9,386.67,365.39,338.9,327.38,317.95,310.42,300.34,287.34,265.96,243.08,221.32,188.28,148.37,105.42,70.01,42.56,25.46,15.24,7.38,6.18,5.01,4.17,3.68,1.96,1.11,1.12,0.99,1.18,1.06,0.8,0.7,0.38,0.4,0.27,0.37,0.31,0.37,0.1,0.05,0.08,0.05,0.07,0.07,0.02,0.01,0.03,0.05,0.05,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 11:30:00,2018-01-01T12:25,55,368.53,363.78,344.6,321.74,304.73,299.01,294.97,288.98,281.4,261.35,247.15,225.88,199.46,161.67,119.87,75.74,44.6,26.75,15.21,7.92,6.54,5.21,4.31,3.75,2.18,1.28,1.33,1.0,0.91,0.89,0.81,0.54,0.44,0.28,0.23,0.27,0.27,0.24,0.11,0.04,0.06,0.04,0.0,0.02,0.04,0.01,0.02,0.06,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 12:25:00,2018-01-01T13:25,60,365.08,332.78,312.03,284.92,273.89,262.41,259.0,253.8,254.16,239.67,225.25,208.14,182.34,142.2,106.6,68.87,41.87,23.43,14.26,7.19,6.3,4.15,3.94,3.18,1.86,1.05,1.21,1.06,0.88,0.63,0.52,0.38,0.3,0.2,0.17,0.21,0.34,0.2,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
7,2018-01-01 13:25:00,2018-01-01T14:25,60,487.09,428.09,375.16,347.21,318.38,296.24,275.14,265.15,264.09,258.63,254.69,241.86,227.74,191.28,144.4,93.52,51.74,28.78,16.87,8.7,6.72,5.51,5.28,4.48,2.56,1.56,1.66,1.23,1.54,1.14,0.86,0.57,0.55,0.37,0.33,0.3,0.24,0.4,0.2,0.05,0.01,0.1,0.05,0.05,0.01,0.08,0.1,0.02,0.02,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neumayer_SPUSO,-70.65,-8.25,42.0
