Date/Time,Zone,Temp,Sal,DO,pH,NH3,[NO3]-,[PO4]3-,Event,Latitude,Longitude
2013-12-01,1,28.5,37.2,5.2,7.8,1150,1.2,0.17,Macapule_Lagoon,25.35,-108.5
2013-12-01,2,28.5,37.2,5.3,7.9,1150,1.2,0.17,Macapule_Lagoon,25.35,-108.5
2013-12-01,3,28.0,37.0,5.4,7.9,1200,1.5,0.3,Macapule_Lagoon,25.35,-108.5
2014-06-01,1,30.8,41.2,2.8,7.4,1890,1.26,0.09,Macapule_Lagoon,25.35,-108.5
2014-06-01,2,31.0,41.0,2.9,7.5,460,4.25,0.08,Macapule_Lagoon,25.35,-108.5
2014-06-01,3,31.3,41.0,3.0,7.5,850,2.89,0.05,Macapule_Lagoon,25.35,-108.5
2014-12-01,1,20.4,38.1,7.1,6.6,50,1.18,0.11,Macapule_Lagoon,25.35,-108.5
2014-12-01,2,20.5,38.0,7.02,6.75,120,1.39,0.09,Macapule_Lagoon,25.35,-108.5
2014-12-01,3,20.6,38.0,7.2,6.75,90,1.28,0.1,Macapule_Lagoon,25.35,-108.5
2015-06-01,1,32.1,40.0,4.5,7.4,70,10.0,0.05,Macapule_Lagoon,25.35,-108.5
2015-06-01,2,32.5,40.0,5.1,7.5,130,9.0,0.21,Macapule_Lagoon,25.35,-108.5
2015-06-01,3,30.0,39.0,6.7,7.7,80,9.8,0.27,Macapule_Lagoon,25.35,-108.5
