Date/Time,Longitude,Latitude,Height,PPPP,TTT,RH,dd,ff,Event
2018-08-18 11:09:00,36.54061,89.5537,8.729,1003.73,0.04,89.7,303,5.125,Balloon_20180818_1109_1139
2018-08-18 11:09:01,36.54045,89.5537,8.57,1003.75,0.04,89.7,246,5.509,Balloon_20180818_1109_1139
2018-08-18 11:09:02,36.54035,89.5537,8.57,1003.75,0.04,89.7,236,5.7,Balloon_20180818_1109_1139
2018-08-18 11:09:03,36.54034,89.5537,8.729,1003.73,0.05,89.7,74,5.318,Balloon_20180818_1109_1139
2018-08-18 11:09:04,36.54041,89.5537,8.729,1003.73,0.04,89.7,269,5.89,Balloon_20180818_1109_1139
2018-08-18 11:09:05,36.54058,89.5537,8.331,1003.78,0.04,89.7,59,6.079,Balloon_20180818_1109_1139
2018-08-18 11:09:06,36.54076,89.5537,8.012,1003.82,0.04,89.7,7,4.638,Balloon_20180818_1109_1139
2018-08-18 11:09:07,36.54078,89.5537,8.171,1003.8,0.04,89.75,257,5.414,Balloon_20180818_1109_1139
2018-08-18 11:09:08,36.54082,89.5537,8.331,1003.78,0.04,89.8,256,5.89,Balloon_20180818_1109_1139
2018-08-18 11:09:09,36.54111,89.5537,8.092,1003.81,0.04,89.8,39,4.44,Balloon_20180818_1109_1139
2018-08-18 11:09:10,36.54142,89.5537,7.773,1003.85,0.03,89.8,161,4.931,Balloon_20180818_1109_1139
2018-08-18 11:09:11,36.54141,89.5537,8.331,1003.78,0.04,89.8,249,5.414,Balloon_20180818_1109_1139
2018-08-18 11:09:12,36.54129,89.5537,8.809,1003.72,0.03,89.8,260,5.605,Balloon_20180818_1109_1139
2018-08-18 11:09:13,36.54108,89.5537,9.367,1003.65,0.03,89.8,255,4.638,Balloon_20180818_1109_1139
2018-08-18 11:09:14,36.54104,89.5537,9.367,1003.65,0.02,89.8,33,5.028,Balloon_20180818_1109_1139
2018-08-18 11:09:15,36.54108,89.5537,10.643,1003.49,0.02,89.8,187,5.029,Balloon_20180818_1109_1139
2018-08-18 11:09:16,36.54134,89.5537,10.961,1003.45,0.015,89.8,24,4.736,Balloon_20180818_1109_1139
2018-08-18 11:09:17,36.54171,89.5537,11.28,1003.41,0.01,89.8,214,5.318,Balloon_20180818_1109_1139
2018-08-18 11:09:18,36.54184,89.5537,12.157,1003.3,0.0,89.8,235,4.639,Balloon_20180818_1109_1139
2018-08-18 11:09:19,36.54173,89.5537,12.556,1003.25,0.0,89.8,243,5.319,Balloon_20180818_1109_1139
2018-08-18 11:09:20,36.54176,89.5537,13.433,1003.14,-0.01,89.8,213,4.639,Balloon_20180818_1109_1139
2018-08-18 11:09:21,36.54237,89.5537,14.071,1003.06,-0.01,89.8,142,4.737,Balloon_20180818_1109_1139
2018-08-18 11:09:22,36.5431,89.5537,14.71,1002.98,-0.02,89.8,144,5.03,Balloon_20180818_1109_1139
2018-08-18 11:09:23,36.54336,89.5537,16.145,1002.8,-0.02,89.8,280,5.702,Balloon_20180818_1109_1139
2018-08-18 11:09:24,36.5436,89.5537,16.704,1002.73,-0.03,89.7,131,5.511,Balloon_20180818_1109_1139
2018-08-18 11:09:25,36.54376,89.5537,16.983,1002.695,-0.037,89.733,146,5.32,Balloon_20180818_1109_1139
2018-08-18 11:09:26,36.54393,89.5537,17.262,1002.66,,,205,4.933,Balloon_20180818_1109_1139
2018-08-18 11:09:27,36.54373,89.5537,18.14,1002.55,-0.05,89.8,263,4.541,Balloon_20180818_1109_1139
2018-08-18 11:09:28,36.54305,89.5537,18.858,1002.46,-0.05,89.8,252,5.031,Balloon_20180818_1109_1139
2018-08-18 11:09:29,36.54236,89.5537,19.337,1002.4,-0.06,89.8,239,4.542,Balloon_20180818_1109_1139
2018-08-18 11:09:30,36.54211,89.5537,20.055,1002.31,-0.06,89.8,219,5.031,Balloon_20180818_1109_1139
2018-08-18 11:09:31,36.54236,89.5537,20.853,1002.21,-0.07,89.7,214,5.224,Balloon_20180818_1109_1139
2018-08-18 11:09:32,36.54234,89.5537,21.571,1002.12,-0.07,89.7,224,5.128,Balloon_20180818_1109_1139
2018-08-18 11:09:33,36.54173,89.5537,22.529,1002.0,-0.07,89.7,257,5.704,Balloon_20180818_1109_1139
2018-08-18 11:09:34,36.54127,89.5537,22.888,1001.955,-0.075,89.75,256,5.513,Balloon_20180818_1109_1139
2018-08-18 11:09:35,36.54144,89.5537,23.248,1001.91,-0.08,89.8,107,5.799,Balloon_20180818_1109_1139
2018-08-18 11:09:36,36.54219,89.5537,23.727,1001.85,-0.09,89.8,117,5.513,Balloon_20180818_1109_1139
2018-08-18 11:09:37,36.54314,89.5538,24.445,1001.76,-0.1,89.8,351,5.704,Balloon_20180818_1109_1139
2018-08-18 11:09:38,36.54472,89.5538,25.403,1001.64,-0.1,89.8,84,5.418,Balloon_20180818_1109_1139
2018-08-18 11:09:39,36.54708,89.5538,25.882,1001.58,-0.11,89.8,45,5.609,Balloon_20180818_1109_1139
2018-08-18 11:09:40,36.54938,89.5538,26.441,1001.51,-0.11,89.8,31,5.895,Balloon_20180818_1109_1139
2018-08-18 11:09:41,36.55087,89.5538,27.24,1001.41,-0.12,89.8,9,6.179,Balloon_20180818_1109_1139
2018-08-18 11:09:42,36.55202,89.5538,27.32,1001.4,-0.12,89.8,311,5.705,Balloon_20180818_1109_1139
2018-08-18 11:09:43,36.55359,89.5538,27.4,1001.39,-0.12,89.8,37,6.085,Balloon_20180818_1109_1139
2018-08-18 11:09:44,36.55471,89.5538,28.238,1001.285,-0.125,89.8,110,6.179,Balloon_20180818_1109_1139
2018-08-18 11:09:45,36.5541,89.5538,29.077,1001.18,-0.13,89.8,309,5.706,Balloon_20180818_1109_1139
2018-08-18 11:09:46,36.55219,89.5538,29.876,1001.08,-0.14,89.9,271,6.836,Balloon_20180818_1109_1139
2018-08-18 11:09:47,36.55072,89.5538,31.873,1000.83,-0.15,89.9,243,7.116,Balloon_20180818_1109_1139
2018-08-18 11:09:48,36.55022,89.5538,32.353,1000.77,-0.17,89.9,186,6.556,Balloon_20180818_1109_1139
2018-08-18 11:09:49,36.54964,89.5538,34.191,1000.54,-0.18,90.0,246,5.992,Balloon_20180818_1109_1139
2018-08-18 11:09:50,36.54852,89.5538,34.91,1000.45,-0.19,90.0,244,5.992,Balloon_20180818_1109_1139
2018-08-18 11:09:51,36.54717,89.5538,36.588,1000.24,-0.2,90.0,261,6.651,Balloon_20180818_1109_1139
2018-08-18 11:09:52,36.54656,89.5538,37.468,1000.13,-0.21,90.0,205,5.803,Balloon_20180818_1109_1139
2018-08-18 11:09:53,36.54665,89.5538,38.027,1000.06,-0.21,89.95,110,6.182,Balloon_20180818_1109_1139
2018-08-18 11:09:54,36.5468,89.5538,38.587,999.99,-0.21,89.9,238,5.993,Balloon_20180818_1109_1139
2018-08-18 11:09:55,36.547,89.5538,38.747,999.97,-0.21,89.9,274,5.898,Balloon_20180818_1109_1139
2018-08-18 11:09:56,36.54739,89.5538,38.107,1000.05,-0.2,89.9,76,6.652,Balloon_20180818_1109_1139
2018-08-18 11:09:57,36.54768,89.5538,38.747,999.97,-0.2,89.9,290,6.652,Balloon_20180818_1109_1139
2018-08-18 11:09:58,36.54781,89.5538,39.707,999.85,-0.2,89.9,264,6.371,Balloon_20180818_1109_1139
2018-08-18 11:09:59,36.54837,89.5538,41.066,999.68,-0.22,89.9,63,6.933,Balloon_20180818_1109_1139
2018-08-18 11:10:00,36.54945,89.5538,43.146,999.42,-0.23,90.0,113,6.934,Balloon_20180818_1109_1139
2018-08-18 11:10:01,36.55047,89.5538,43.946,999.32,-0.25,90.0,168,6.466,Balloon_20180818_1109_1139
2018-08-18 11:10:02,36.55141,89.5538,44.586,999.24,-0.255,90.0,244,5.423,Balloon_20180818_1109_1139
2018-08-18 11:10:03,36.55287,89.5538,45.226,999.16,-0.26,90.0,221,5.134,Balloon_20180818_1109_1139
2018-08-18 11:10:04,36.55524,89.5538,45.706,999.1,-0.28,90.1,169,5.134,Balloon_20180818_1109_1139
2018-08-18 11:10:05,36.55784,89.5538,46.906,998.95,-0.29,90.1,291,5.995,Balloon_20180818_1109_1139
2018-08-18 11:10:06,36.55973,89.5538,48.667,998.73,-0.31,90.1,193,5.615,Balloon_20180818_1109_1139
2018-08-18 11:10:07,36.56053,89.5538,49.467,998.63,-0.31,90.1,273,5.52,Balloon_20180818_1109_1139
2018-08-18 11:10:08,36.56084,89.5538,50.668,998.48,-0.31,90.1,228,6.091,Balloon_20180818_1109_1139
2018-08-18 11:10:09,36.56101,89.5538,52.349,998.27,-0.33,90.1,168,5.807,Balloon_20180818_1109_1139
2018-08-18 11:10:10,36.56062,89.5538,54.111,998.05,-0.34,90.2,282,6.092,Balloon_20180818_1109_1139
2018-08-18 11:10:11,36.55969,89.5538,55.232,997.91,-0.36,90.2,282,6.47,Balloon_20180818_1109_1139
2018-08-18 11:10:12,36.55879,89.5539,55.472,997.88,-0.365,90.2,232,5.808,Balloon_20180818_1109_1139
2018-08-18 11:10:13,36.55847,89.5539,55.712,997.85,-0.37,90.2,141,5.617,Balloon_20180818_1109_1139
2018-08-18 11:10:14,36.5589,89.5539,57.314,997.65,-0.37,90.2,100,5.713,Balloon_20180818_1109_1139
2018-08-18 11:10:15,36.55961,89.5539,58.436,997.51,-0.38,90.2,165,5.999,Balloon_20180818_1109_1139
2018-08-18 11:10:16,36.55959,89.5539,59.397,997.39,-0.39,90.2,224,5.618,Balloon_20180818_1109_1139
2018-08-18 11:10:17,36.55871,89.5539,60.038,997.31,-0.4,90.2,234,6.377,Balloon_20180818_1109_1139
2018-08-18 11:10:18,36.55786,89.5539,61.32,997.15,-0.41,90.2,266,5.81,Balloon_20180818_1109_1139
2018-08-18 11:10:19,36.55771,89.5539,61.561,997.12,-0.41,90.3,78,6.472,Balloon_20180818_1109_1139
2018-08-18 11:10:20,36.55784,89.5539,62.683,996.98,-0.43,90.3,177,5.715,Balloon_20180818_1109_1139
2018-08-18 11:10:21,36.55734,89.554,62.923,996.95,-0.43,90.3,263,5.619,Balloon_20180818_1109_1139
2018-08-18 11:10:22,36.55611,89.554,63.164,996.92,-0.43,90.3,254,5.619,Balloon_20180818_1109_1139
2018-08-18 11:10:23,36.55505,89.554,64.527,996.75,-0.44,90.3,310,6.0,Balloon_20180818_1109_1139
2018-08-18 11:10:24,36.55482,89.554,65.97,996.57,-0.45,90.4,85,6.19,Balloon_20180818_1109_1139
2018-08-18 11:10:25,36.55471,89.554,66.932,996.45,-0.46,90.4,92,6.379,Balloon_20180818_1109_1139
2018-08-18 11:10:26,36.55403,89.554,68.616,996.24,-0.48,90.5,285,6.755,Balloon_20180818_1109_1139
2018-08-18 11:10:27,36.55341,89.554,70.06,996.06,-0.49,90.5,34,6.568,Balloon_20180818_1109_1139
2018-08-18 11:10:28,36.55426,89.554,70.541,996.0,-0.5,90.5,157,6.286,Balloon_20180818_1109_1139
2018-08-18 11:10:29,36.55657,89.554,73.349,995.65,-0.51,90.5,115,7.502,Balloon_20180818_1109_1139
2018-08-18 11:10:30,36.55873,89.554,73.188,995.67,-0.51,90.5,284,7.872,Balloon_20180818_1109_1139
2018-08-18 11:10:31,36.56043,89.554,73.75,995.6,-0.51,90.5,234,7.037,Balloon_20180818_1109_1139
2018-08-18 11:10:32,36.56202,89.554,74.312,995.53,-0.51,90.5,88,6.381,Balloon_20180818_1109_1139
2018-08-18 11:10:33,36.56343,89.554,75.435,995.39,-0.53,90.5,68,7.503,Balloon_20180818_1109_1139
2018-08-18 11:10:34,36.56399,89.554,76.559,995.25,-0.53,90.5,62,7.225,Balloon_20180818_1109_1139
2018-08-18 11:10:35,36.5634,89.554,76.88,995.21,-0.54,90.6,268,7.318,Balloon_20180818_1109_1139
2018-08-18 11:10:36,36.56306,89.554,77.442,995.14,-0.54,90.6,240,7.504,Balloon_20180818_1109_1139
2018-08-18 11:10:37,36.56409,89.554,78.565,995.0,-0.55,90.6,89,6.852,Balloon_20180818_1109_1139
2018-08-18 11:10:38,36.56557,89.554,78.887,994.96,-0.55,90.6,59,7.132,Balloon_20180818_1109_1139
2018-08-18 11:10:39,36.56619,89.554,79.449,994.89,-0.57,90.7,256,6.288,Balloon_20180818_1109_1139
2018-08-18 11:10:40,36.56575,89.554,79.81,994.845,-0.575,90.7,268,6.099,Balloon_20180818_1109_1139
2018-08-18 11:10:41,36.56517,89.554,80.171,994.8,-0.58,90.7,293,6.289,Balloon_20180818_1109_1139
2018-08-18 11:10:42,36.56507,89.554,81.456,994.64,-0.6,90.8,53,6.383,Balloon_20180818_1109_1139
2018-08-18 11:10:43,36.56506,89.554,81.938,994.58,-0.59,90.7,95,6.666,Balloon_20180818_1109_1139
2018-08-18 11:10:44,36.56482,89.554,83.062,994.44,-0.59,90.7,277,7.598,Balloon_20180818_1109_1139
2018-08-18 11:10:45,36.56462,89.554,83.624,994.37,-0.59,90.7,223,7.227,Balloon_20180818_1109_1139
2018-08-18 11:10:46,36.56478,89.554,84.267,994.29,-0.59,90.7,199,7.413,Balloon_20180818_1109_1139
2018-08-18 11:10:47,36.56494,89.554,84.669,994.24,-0.6,90.7,171,7.506,Balloon_20180818_1109_1139
2018-08-18 11:10:48,36.5646,89.554,85.151,994.18,-0.6,90.8,245,7.599,Balloon_20180818_1109_1139
2018-08-18 11:10:49,36.56367,89.554,85.351,994.155,-0.605,90.8,250,7.041,Balloon_20180818_1109_1139
2018-08-18 11:10:50,36.56242,89.554,85.552,994.13,-0.61,90.8,256,6.761,Balloon_20180818_1109_1139
2018-08-18 11:10:51,36.56133,89.554,86.516,994.01,-0.62,90.9,303,6.948,Balloon_20180818_1109_1139
2018-08-18 11:10:52,36.561,89.554,86.838,993.97,-0.62,90.9,77,7.692,Balloon_20180818_1109_1139
2018-08-18 11:10:53,36.56103,89.554,87.4,993.9,-0.63,91.0,114,7.414,Balloon_20180818_1109_1139
2018-08-18 11:10:54,36.56051,89.554,87.722,993.86,-0.64,91.0,223,7.228,Balloon_20180818_1109_1139
2018-08-18 11:10:55,36.55956,89.554,88.284,993.79,-0.64,91.0,296,7.507,Balloon_20180818_1109_1139
2018-08-18 11:10:56,36.55915,89.554,88.525,993.76,-0.65,91.1,40,7.135,Balloon_20180818_1109_1139
2018-08-18 11:10:57,36.55947,89.554,89.409,993.65,-0.65,91.1,106,7.415,Balloon_20180818_1109_1139
2018-08-18 11:10:58,36.55989,89.554,89.49,993.64,-0.66,91.1,199,7.322,Balloon_20180818_1109_1139
2018-08-18 11:10:59,36.55985,89.554,89.449,993.645,-0.655,91.05,236,7.136,Balloon_20180818_1109_1139
2018-08-18 11:11:00,36.55949,89.5541,89.409,993.65,-0.65,91.0,251,6.668,Balloon_20180818_1109_1139
2018-08-18 11:11:01,36.55923,89.5541,89.409,993.65,-0.65,91.0,223,6.48,Balloon_20180818_1109_1139
2018-08-18 11:11:02,36.55914,89.5541,90.052,993.57,-0.65,91.0,134,6.949,Balloon_20180818_1109_1139
2018-08-18 11:11:03,36.55938,89.5541,90.615,993.5,-0.65,91.0,210,6.949,Balloon_20180818_1109_1139
2018-08-18 11:11:04,36.56043,89.5541,91.177,993.43,-0.66,91.1,214,7.136,Balloon_20180818_1109_1139
2018-08-18 11:11:05,36.56207,89.5541,91.258,993.42,-0.66,91.1,183,6.762,Balloon_20180818_1109_1139
2018-08-18 11:11:06,36.56346,89.5541,91.499,993.39,-0.67,91.2,260,6.95,Balloon_20180818_1109_1139
2018-08-18 11:11:07,36.56416,89.5541,93.026,993.2,-0.67,91.2,297,7.323,Balloon_20180818_1109_1139
2018-08-18 11:11:08,36.56456,89.5541,93.107,993.19,-0.675,91.2,342,7.137,Balloon_20180818_1109_1139
2018-08-18 11:11:09,36.56567,89.5541,93.187,993.18,-0.68,91.2,103,7.972,Balloon_20180818_1109_1139
2018-08-18 11:11:10,36.568,89.5541,93.026,993.2,-0.68,91.1,180,7.88,Balloon_20180818_1109_1139
2018-08-18 11:11:11,36.57079,89.5541,93.589,993.13,-0.67,91.1,235,7.323,Balloon_20180818_1109_1139
2018-08-18 11:11:12,36.57296,89.5541,93.83,993.1,-0.67,91.1,299,7.602,Balloon_20180818_1109_1139
2018-08-18 11:11:13,36.57438,89.5541,94.876,992.97,-0.68,91.1,272,7.603,Balloon_20180818_1109_1139
2018-08-18 11:11:14,36.57563,89.5541,95.68,992.87,-0.68,91.2,90,7.324,Balloon_20180818_1109_1139
2018-08-18 11:11:15,36.57702,89.5541,95.519,992.89,-0.69,91.2,109,7.696,Balloon_20180818_1109_1139
2018-08-18 11:11:16,36.57832,89.5541,96.886,992.72,-0.69,91.2,270,7.789,Balloon_20180818_1109_1139
2018-08-18 11:11:17,36.57894,89.5541,96.967,992.71,-0.695,91.2,236,7.325,Balloon_20180818_1109_1139
2018-08-18 11:11:18,36.57894,89.5541,97.047,992.7,-0.7,91.2,282,8.066,Balloon_20180818_1109_1139
2018-08-18 11:11:19,36.5789,89.5541,97.369,992.66,-0.71,91.3,291,8.527,Balloon_20180818_1109_1139
2018-08-18 11:11:20,36.57914,89.5541,98.495,992.52,-0.71,91.3,57,8.528,Balloon_20180818_1109_1139
