Sample ID,Sample label,Sample label_2,Depth top,Depth bot,Depth top_2,Depth bot_2,Depth sed,Alk peak area,Diols peak area,Event,Latitude,Longitude,Elevation,Date/Time
CKY000000000006742800,"C0023A-5F-2 WR, 60.0-70.0",370BVWR2,256.725,256.825,255.979,256.035,256.007,56143.54,2923.37,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006771100,"C0023A-9F-3 WR, 0.0-10.0",370BVWR2,318.465,318.565,317.574,317.628,317.601,9903.91,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006786600,"C0023A-12F-1 WR, 51.0-62.0",370BVWR2,357.51,357.62,357.51,357.62,357.565,210777.35,32016.73,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006859200,"C0023A-18R-6 WR, 20.0-30.0",370BVWR2,434.39,434.49,434.39,434.49,434.44,221854.82,14244.53,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006930700,"C0023A-24R-4 WR, 40.0-50.0",370BVWR2,488.215,488.315,487.935,488.027,487.981,207556.62,11964.24,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006959000,"C0023A-27R-2 WR, 94.0-105.0",370BVWR2,514.92,515.03,514.92,515.03,514.975,311274.05,7653.76,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000006998100,"C0023A-32R-3 WR, 80.0-90.0",370BVWR2,552.9,553.0,552.9,553.0,552.95,70261.33,3131.34,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007031900,"C0023A-35R-4 WR, 42.0-52.0",370BVWR2,576.9,577.0,576.9,577.0,576.95,10662.24,1219.66,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007067700,"C0023A-38R-3 WR, 100.0-117.5",370BVWR2,604.8,604.975,604.8,604.975,604.888,20916.98,987.02,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007114800,"C0023A-41R-3 WR, 9.0-19.0",370BVWR2,632.845,632.945,632.646,632.738,632.692,25788.63,221.19,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007179700,"C0023A-46R-4 WR, 18.0-27.0",370BVWR2,677.06,677.15,676.834,676.919,676.877,3041.58,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007338600,"C0023A-55R-2 WR, 42.0-56.0",370BVWR2,719.23,719.37,719.23,719.37,719.3,1843.75,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007374400,"C0023A-59R-4 WR, 115.0-130.0",370BVWR2,741.13,741.28,740.961,741.104,741.033,205.47,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007434400,"C0023A-65R-2 WR, 37.0-47.0",370BVWR2,767.705,767.805,767.705,767.805,767.755,275.97,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007499700,"C0023A-72R-2 WR, 41.0-50.0",370BVWR2,799.125,799.215,799.125,799.215,799.17,220.18,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007547500,"C0023A-78R-4 WR, 40.0-55.0",370BVWR2,826.96,827.11,826.96,827.11,827.035,76.93,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007598600,"C0023A-83R-1 WR, 83.0-93.0",370BVWR2,862.33,862.43,862.33,862.43,862.38,28.1,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007823600,"C0023A-92R-2 WR, 34.0-49.0",370BVWR2,948.77,948.92,948.77,948.92,948.845,0.0,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007885500,"C0023A-97R-8 WR, 85.0-100.0",370BVWR2,1008.955,1009.105,1008.955,1009.105,1009.03,0.0,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
CKY000000000007968800,"C0023A-103R-7 WR, 105.0-117.0",370BVWR2,1068.6,1068.72,1068.277,1068.393,1068.335,0.0,0.0,370-C0023A,32.366667,134.966333,-4776.0,2016-09-17
