Event,Sample ID,Stage,Aerosol size range,Date/Time,Latitude,Longitude,Date/Time_2,Latitude_2,Longitude_2,Height,Cl-,[NO3]-,[SO4]2-,[C2O4]2-,[NO2]-,Br-,F-,MSA,[PO4]3-,Na+,[NH4]+,K+,Mg2+
PS106/1-track,PS-A 116,Stage 1,0.05-0.14,2017-05-24 20:50:00,54.932913,6.892372,2017-05-26T16:34,61.876844,3.229915,25,1.1,2.1,31.2,2.0,0.0,0.0,0.0,11.8,0,0.0,12.6,0.0,0.4
PS106/1-track,PS-A 117,Stage 2,0.14-0.42,2017-05-24 20:50:00,54.932913,6.892372,2017-05-26T16:34,61.876844,3.229915,25,23.5,11.9,454.9,12.5,0.0,0.2,0.0,95.9,0,31.5,183.1,6.5,4.1
PS106/1-track,PS-A 118,Stage 3,0.42-1.2,2017-05-24 20:50:00,54.932913,6.892372,2017-05-26T16:34,61.876844,3.229915,25,5.2,4.0,602.4,16.4,0.5,0.3,0.0,99.5,0,73.2,196.6,4.8,14.0
PS106/1-track,PS-A 119,Stage 4,1.2-3.5,2017-05-24 20:50:00,54.932913,6.892372,2017-05-26T16:34,61.876844,3.229915,25,302.2,281.0,125.8,6.1,0.0,0.5,0.0,9.7,0,282.3,5.0,10.1,29.9
PS106/1-track,PS-A 120,Stage 5,3.5-10,2017-05-24 20:50:00,54.932913,6.892372,2017-05-26T16:34,61.876844,3.229915,25,125.2,36.3,21.4,1.2,0.0,0.3,0.0,0.4,0,76.0,1.0,2.8,11.1
PS106/1-track,PS-A 126,Stage 1,0.05-0.14,2017-05-26 19:35:00,62.372596,3.420486,2017-05-29T11:35,72.690836,5.645751,25,123.4,63.8,107.8,5.6,0.0,1.0,0.0,9.6,0,92.7,11.3,7.7,11.0
PS106/1-track,PS-A 127,Stage 2,0.14-0.42,2017-05-26 19:35:00,62.372596,3.420486,2017-05-29T11:35,72.690836,5.645751,25,160.7,48.8,304.7,9.1,0.3,1.2,0.0,63.9,0,106.7,96.6,9.6,12.2
PS106/1-track,PS-A 128,Stage 3,0.42-1.2,2017-05-26 19:35:00,62.372596,3.420486,2017-05-29T11:35,72.690836,5.645751,25,26.8,3.0,452.6,12.6,0.0,0.5,0.0,62.8,0,101.0,106.1,4.2,11.4
PS106/1-track,PS-A 129,Stage 4,1.2-3.5,2017-05-26 19:35:00,62.372596,3.420486,2017-05-29T11:35,72.690836,5.645751,25,584.1,43.2,90.6,2.0,0.0,1.1,0.0,1.7,0,336.0,3.6,10.4,37.5
PS106/1-track,PS-A 130,Stage 5,3.5-10,2017-05-26 19:35:00,62.372596,3.420486,2017-05-29T11:35,72.690836,5.645751,25,234.5,10.5,33.0,1.0,0.0,0.5,0.0,0.2,0,128.5,1.1,3.8,14.0
PS106/1-track,PS-A 136,Stage 1,0.05-0.14,2017-05-29 12:47:00,72.691655,5.645189,2017-06-01T08:29,80.436376,7.227549,25,1.5,0.0,35.2,0.0,0.0,0.0,0.0,0.9,0,0.0,6.6,0.0,0.0
PS106/1-track,PS-A 137,Stage 2,0.14-0.42,2017-05-29 12:47:00,72.691655,5.645189,2017-06-01T08:29,80.436376,7.227549,25,5.2,0.0,254.7,1.7,0.0,0.2,0.0,8.3,0,14.1,34.3,5.2,2.0
PS106/1-track,PS-A 138,Stage 3,0.42-1.2,2017-05-29 12:47:00,72.691655,5.645189,2017-06-01T08:29,80.436376,7.227549,25,67.8,5.8,328.4,0.9,0.0,0.3,0.0,5.7,0,132.3,17.3,4.4,15.1
PS106/1-track,PS-A 139,Stage 4,1.2-3.5,2017-05-29 12:47:00,72.691655,5.645189,2017-06-01T08:29,80.436376,7.227549,25,668.8,37.5,111.9,0.8,0.0,1.4,0.0,0.8,0,385.6,4.1,11.7,45.9
