Depth sed,Samp thick,Age dated,Age unc,Dated material,Lab label,Age,Age unc_2,Comment,Event,Latitude,Longitude,Elevation,Date/Time
0.0,,,,,,2003.0,,Sediment surface (0 cm) date,Stordalen_2,68.35,19.05,350.0,
0.0025,0.5,,,,,2001.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0075,0.5,,,,,1997.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0125,0.5,,,,,1993.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0175,0.5,,,,,1988.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0225,0.5,,,,,1985.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0275,0.5,,,,,1981.0,2.0,,Stordalen_2,68.35,19.05,350.0,
0.0325,0.5,,,,,1975.0,3.0,,Stordalen_2,68.35,19.05,350.0,
0.0375,0.5,,,,,1971.0,3.0,,Stordalen_2,68.35,19.05,350.0,
0.0425,0.5,,,,,1967.0,3.0,,Stordalen_2,68.35,19.05,350.0,
0.0525,0.5,,,,,1958.0,4.0,,Stordalen_2,68.35,19.05,350.0,
0.0575,0.5,,,,,1953.0,4.0,,Stordalen_2,68.35,19.05,350.0,
0.0775,0.5,,,,,1940.0,6.0,,Stordalen_2,68.35,19.05,350.0,
0.0825,0.5,,,,,1936.0,6.0,,Stordalen_2,68.35,19.05,350.0,
0.0925,0.5,,,,,1922.0,9.0,,Stordalen_2,68.35,19.05,350.0,
0.1025,0.5,,,,,1898.0,16.0,,Stordalen_2,68.35,19.05,350.0,
0.2805,0.5,0.59,0.05,sph. Lindbergii,LuS 6262,,,,Stordalen_2,68.35,19.05,350.0,
0.4125,0.5,0.605,0.03,sph. Lindbergii,Poz-7781,,,,Stordalen_2,68.35,19.05,350.0,
0.438,0.6,0.825,0.03,moss,Poz-7782,,,,Stordalen_2,68.35,19.05,350.0,
0.765,1.0,1.28,0.03,"Carex, Betula",Poz-7780,,,,Stordalen_2,68.35,19.05,350.0,
1.005,1.0,2.675,0.06,"beatle, bark",LuS 6263,,,,Stordalen_2,68.35,19.05,350.0,
1.325,1.0,3.5,0.06,"moss, TM",LuS 6264,,,,Stordalen_2,68.35,19.05,350.0,
1.6025,0.5,3.76,0.04,carex,Poz-7783,,,,Stordalen_2,68.35,19.05,350.0,
1.795,1.0,3.66,0.09,moss,LuS 6265,,,,Stordalen_2,68.35,19.05,350.0,
2.0225,0.5,4.17,0.04,moss,Poz-7784,,,,Stordalen_2,68.35,19.05,350.0,
2.1675,0.5,4.12,0.05,moss,Poz-7786,,,,Stordalen_2,68.35,19.05,350.0,
2.225,1.0,4.2,0.04,moss,Poz-7787,,,,Stordalen_2,68.35,19.05,350.0,
