Event,Expedition,Latitude,Longitude,Date/Time,Station,Depth water,δ18O,δD,d xs
NunaWP4Mackenzie19_1_STN0a,1,68.505,-134.14796,2019-04-20 15:34:00,1_STN0a,0.9,-18.5,-148.9,-0.9
NunaWP4Mackenzie19_1_STN0b,1,68.319,-133.67819,2019-04-20 20:49:00,1_STN0b,1.0,,,
NunaWP4Mackenzie19_1_STN550,1,69.226,-136.32785,2019-04-22 19:27:00,1_STN550,1.4,,,
NunaWP4Mackenzie19_1_STN540alt,1,69.289,-136.32489,2019-04-22 21:25:00,1_STN540alt,1.3,-19.25,-152.5,1.5
NunaWP4Mackenzie19_1_STN380alt,1,68.865,-135.80715,2019-04-22 22:50:00,1_STN380alt,1.1,-18.73,-150.9,-1.1
NunaWP4Mackenzie19_1_STN01,1,68.319,-133.6775,2019-04-23 19:48:00,1_STN01,1.0,-18.39,-148.4,-1.3
NunaWP4Mackenzie19_1_STN370alt,1,68.953,-136.25413,2019-04-24 16:10:00,1_STN370alt,1.5,-18.47,-148.5,-0.7
NunaWP4Mackenzie19_1_STN360,1,68.997,-136.47992,2019-04-24 18:14:00,1_STN360,1.5,-18.57,-149.2,-0.6
NunaWP4Mackenzie19_1_STN150alt,1,68.986,-137.03941,2019-04-24 19:52:00,1_STN150alt,1.6,-20.53,-161.7,2.6
NunaWP4Mackenzie19_1_STN340alt,1,69.151,-136.85516,2019-04-24 21:05:00,1_STN340alt,1.65,-18.47,-148.6,-0.9
NunaWP4Mackenzie19_1_STN140alt,1,69.021,-137.3236,2019-04-24 22:42:00,1_STN140alt,1.6,-20.39,-161.6,1.5
NunaWP4Mackenzie19_1_STN870,1,69.289,-133.96901,2019-04-25 17:00:00,1_STN870,0.95,-18.59,-148.64,0.05
NunaWP4Mackenzie19_1_STN860,1,69.353,-133.92841,2019-04-25 18:46:00,1_STN860,1.06,-18.52,-148.97,-0.78
