Event,Expedition,Latitude,Longitude,Date/Time,Station,Depth water,IFDOM C1,IFDOM C2,IFDOM C3,FDOM A-peak,FDOM C-peak,FDOM M-peak,FDOM T-peak,fDOM FI,fDOM HI,fDOM BI
NunaWP4Mackenzie19_1_STN0a,1,68.505,-134.14796,2019-04-20 15:34:00,1_STN0a,0.9,0.4358878,0.1725288,0.273985,0.5308855,0.2576523,0.292388,0.2576523,1.593199,5.554941,0.7236347
NunaWP4Mackenzie19_1_STN0b,1,68.319,-133.67819,2019-04-20 20:49:00,1_STN0b,1.0,,,,,,,,,,
NunaWP4Mackenzie19_1_STN550,1,69.226,-136.32785,2019-04-22 19:27:00,1_STN550,1.4,0.5181375,0.183644,0.3011883,0.6228697,0.2897665,0.335789,0.2897665,1.560778,6.546741,0.6930151
NunaWP4Mackenzie19_1_STN540alt,1,69.289,-136.32489,2019-04-22 21:25:00,1_STN540alt,1.3,0.4975989,0.1775976,0.2763233,0.5849197,0.281574,0.3168331,0.281574,1.592311,6.601491,0.7070688
NunaWP4Mackenzie19_1_STN380alt,1,68.865,-135.80715,2019-04-22 22:50:00,1_STN380alt,1.1,0.4513314,0.1800152,0.2714671,0.5450474,0.2664255,0.2964769,0.2664255,1.491408,6.173593,0.7045695
NunaWP4Mackenzie19_1_STN01,1,68.319,-133.6775,2019-04-23 19:48:00,1_STN01,1.0,0.5020639,0.172543,0.2812802,0.5849395,0.2858881,0.322816,0.2858881,1.601266,6.632214,0.7079791
NunaWP4Mackenzie19_1_STN370alt,1,68.953,-136.25413,2019-04-24 16:10:00,1_STN370alt,1.5,0.4418833,0.1540528,0.2745159,0.5352898,0.2542211,0.2991816,0.2542211,1.580933,6.085588,0.734007
NunaWP4Mackenzie19_1_STN360,1,68.997,-136.47992,2019-04-24 18:14:00,1_STN360,1.5,0.4615815,0.1731969,0.274914,0.5544994,0.2670094,0.3037761,0.2670094,1.554154,6.11426,0.7153412
NunaWP4Mackenzie19_1_STN150alt,1,68.986,-137.03941,2019-04-24 19:52:00,1_STN150alt,1.6,0.3568838,0.1361843,0.2133243,0.4152371,0.214366,0.2376564,0.214366,1.651576,6.051458,0.7139149
NunaWP4Mackenzie19_1_STN340alt,1,69.151,-136.85516,2019-04-24 21:05:00,1_STN340alt,1.65,0.4721593,0.1711849,0.2772917,0.5614969,0.2724413,0.3093191,0.2724413,1.551119,6.113699,0.725301
