Core,Depth ice/snow,Gas age,δ18O,δ18O_2,Δ36,Δ36_2,Event,Latitude,Longitude,Elevation,Date/Time
WDC06A,2450.54,17.92939,1.626,1.637,2.088,2.088,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2453.91,18.03478,1.743,1.645,2.002,2.01,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2457.54,18.14876,1.633,1.654,2.218,2.218,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2460.81,18.25321,1.654,1.661,2.113,2.113,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2468.44,18.50039,1.683,1.668,2.161,2.163,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2468.44,18.50039,1.797,1.668,2.137,2.148,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2472.71,18.63543,1.813,1.666,2.133,2.145,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2478.54,18.82101,1.84,1.672,2.049,2.064,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2481.54,18.91809,1.713,1.679,2.031,2.033,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2482.54,18.94887,1.707,1.679,2.124,2.126,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2482.54,18.94987,1.591,1.682,2.203,2.203,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2488.68,19.14856,1.63,1.7,2.184,2.184,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2488.68,19.14856,1.88,1.7,2.096,2.111,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2488.68,19.14856,1.838,1.7,2.145,2.157,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2491.63,19.24579,1.742,1.709,2.172,2.175,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2495.04,19.35668,1.846,1.719,2.057,2.067,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2497.71,19.44176,1.692,1.725,2.051,2.051,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2497.71,19.44176,1.989,1.725,2.032,2.055,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2501.5,19.56373,1.908,1.733,2.078,2.093,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2501.5,19.56373,1.851,1.733,2.136,2.146,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2506.65,19.72794,1.819,1.737,2.038,2.045,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2506.65,19.72794,1.874,1.737,2.011,2.023,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2507.54,19.75698,1.859,1.737,2.113,2.123,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2507.54,19.75698,1.832,1.737,2.158,2.166,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2507.54,19.75698,1.834,1.737,2.106,2.114,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2510.55,19.85618,1.657,1.736,2.098,2.098,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2510.55,19.85618,1.82,1.736,2.115,2.122,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2513.82,19.9647,1.77,1.735,2.072,2.075,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2513.82,19.9647,1.674,1.735,2.204,2.204,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2532.56,20.56476,1.867,1.736,2.067,2.078,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2532.56,20.56476,1.85,1.736,2.136,2.146,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
WDC06A,2555.24,21.33293,1.755,1.688,2.025,2.03,WDC06A,-79.46763,-112.08648,1766.0,2006-12-09
