Event,Expedition,Spec ID,Subsample ID,Sample comment,Loc ID,Date/Time,Gear,Depth water,Depth water_2,Latitude,Longitude,Date,B. saida TL,B. saida SL,B. saida wm,B. saida sex,B. saida CI,Degree digest,B. saida stom m,B. saida stom con m,Comment,Elevation
PS80/216-1,PS80,PS80-0026-1,PS80-P183,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,76.0,69.0,2.59,F,81.47,,0.2,,STOMACH EMPTY,-3616.8
PS80/216-1,PS80,PS80-0026-6,PS80-P192,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,85.0,78.0,3.59,M,80.22,4.0,0.27,,,-3616.8
PS80/216-1,PS80,PS80-0026-9,PS80-P198,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,94.0,86.0,4.51,M,87.58,4.0,0.29,,,-3616.8
PS80/216-1,PS80,PS80-0026-12,PS80-P200,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,137.0,124.0,18.87,M,79.7,4.0,1.47,,,-3616.8
PS80/216-1,PS80,PS80-0026-13,PS80-P094,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,76.0,70.0,,,,,0.1,,STOMACH EMPTY,-3616.8
PS80/216-1,PS80,PS80-0026-14,PS80-P504,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,88.0,80.0,3.61,M,81.44,,0.32,,STOMACH EMPTY,-3616.8
PS80/216-1,PS80,PS80-0026-20,PS80-P517,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,90.0,82.0,4.54,M,,4.0,0.37,0.145,,-3616.8
PS80/216-1,PS80,PS80-0026-25,PS80-P525,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,108.0,98.0,6.09,M,79.47,4.0,0.58,0.108,,-3616.8
PS80/216-1,PS80,PS80-0026-22,PS80-P528,Preserved specimen,216,2012-08-07,SUIT,0,2,82.483,30.027,,100.0,91.0,6.36,M,79.72,4.0,0.67,0.151,,-3616.8
PS80/223-1,PS80,PS80-0007-2,PS80-P139,Preserved specimen,223,2012-08-09,SUIT,0,2,84.07,30.434,2014-03-20,90.0,83.0,4.82,M,72.61,,0.85,0.459,,-4018.9
PS80/223-1,PS80,PS80-0007-3,PS80-P141,Preserved specimen,223,2012-08-09,SUIT,0,2,84.07,30.434,2014-03-20,118.0,109.0,9.2,M,82.93,3.0,0.7,0.054,,-4018.9
PS80/223-1,PS80,PS80-0007-4,PS80-P143,Preserved specimen,223,2012-08-09,SUIT,0,2,84.07,30.434,2014-03-20,102.0,92.0,6.21,M,82.61,3.0,0.61,0.258,,-4018.9
PS80/223-1,PS80,PS80-0008-2,PS80-P211,Preserved specimen,223,2012-08-09,SUIT,0,2,84.07,30.434,2014-03-18,86.0,78.0,,F,,4.0,0.43,0.08,,-4018.9
PS80/248-1,PS80,PS80-0019-1,PS80-P203,Preserved specimen,248,2012-08-16,SUIT,0,2,83.934,75.507,2014-03-18,76.0,70.0,,M,,2.0,0.44,0.201,,-3423.1
PS80/248-1,PS80,PS80-0020-1,PS80-P207,Preserved specimen,248,2012-08-16,SUIT,0,2,83.934,75.507,2014-03-18,68.0,63.0,2.26,M,74.34,2.0,0.28,0.086,,-3423.1
PS80/258-1,PS80,PS80-0024-1,PS80-P253,Preserved specimen,258,2012-08-20,SUIT,0,2,82.743,109.627,2014-03-18,56.0,51.0,1.17,M,79.49,4.0,0.1,0.019,,-3574.0
PS80/258-1,PS80,PS80-0024-4,PS80-P265,Preserved specimen,258,2012-08-20,SUIT,0,2,82.743,109.627,2014-03-18,64.0,58.0,1.89,M,73.02,3.0,0.18,0.027,,-3574.0
PS80/258-1,PS80,PS80-0024-5,PS80-P272,Preserved specimen,258,2012-08-20,SUIT,0,2,82.743,109.627,2014-03-18,93.0,84.0,5.72,M,77.8,3.0,0.58,0.109,,-3574.0
PS80/258-1,PS80,PS80-0024-8,PS80-P279,Preserved specimen,258,2012-08-20,SUIT,0,2,82.743,109.627,2014-03-18,105.0,95.0,,F,,3.0,0.87,0.248,,-3574.0
PS80/276-1,PS80,PS80-0041-2,PS80-P299,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,69.0,64.0,2.04,M,77.45,2.0,0.26,0.111,,-4188.5
PS80/276-1,PS80,PS80-0041-3,PS80-P304,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,69.0,62.0,2.03,M,81.28,4.0,0.14,,,-4188.5
PS80/276-1,PS80,PS80-0041-4,PS80-P308,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,67.0,60.0,2.08,M,79.81,3.0,0.19,0.045,,-4188.5
PS80/276-1,PS80,PS80-0040-7,PS80-P327,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,58.0,52.0,1.17,M,84.62,3.0,0.09,,,-4188.5
PS80/276-1,PS80,PS80-0040-9,PS80-P333,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,58.0,53.0,1.23,M,71.54,3.0,0.11,0.03,,-4188.5
PS80/276-1,PS80,PS80-0040-12,PS80-P345,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,77.0,70.0,2.77,M,77.98,3.0,0.3,0.118,,-4188.5
PS80/276-1,PS80,PS80-0040-13,PS80-P349,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,52.0,48.0,0.83,M,79.52,4.0,0.08,0.019,,-4188.5
PS80/276-1,PS80,PS80-0040-15,PS80-P355,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,62.0,56.0,1.4,M,77.86,4.0,0.13,0.037,,-4188.5
PS80/276-1,PS80,PS80-0040-16,PS80-P360,Preserved specimen,276,2012-08-25,SUIT,0,2,83.073,129.129,2014-03-19,84.0,78.0,2.58,M,81.78,2.0,0.26,0.07,,-4188.5
PS80/285-1,PS80,PS80-0054-7,PS80-P134,Preserved specimen,285,2012-08-26,SUIT,0,2,82.894,129.823,2014-03-20,84.0,78.0,3.63,M,79.34,3.0,0.32,0.054,,-4170.0
PS80/285-1,PS80,PS80-0054-8,PS80-P136,Preserved specimen,285,2012-08-26,SUIT,0,2,82.894,129.823,2014-03-20,92.0,81.0,4.32,M,75.23,3.0,0.47,0.1,,-4170.0
PS80/285-1,PS80,PS80-0052-9,PS80-P540,Preserved specimen,285,2012-08-26,SUIT,0,2,82.894,129.823,,55.0,51.0,1.0,M,76.0,1.0,0.12,0.04,,-4170.0
PS80/285-1,PS80,PS80-0052-14,PS80-P550,Preserved specimen,285,2012-08-26,SUIT,0,2,82.894,129.823,,71.0,65.0,2.76,M,76.81,3.0,0.23,0.079,,-4170.0
PS80/321-1,PS80,PS80-0059-2,PS80-P148,Preserved specimen,321,2012-09-04,SUIT,0,2,81.717,130.033,2014-03-20,75.0,70.0,3.81,M,84.51,3.0,0.31,0.079,,-4011.9
