Year obs,Depth top,Depth bot,Depth water,TP,Description,Event,Latitude,Longitude,Elevation,Date/Time
1967,0,20,10,20.22,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1968,0,20,10,16.26,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1969,0,20,10,21.36,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1970,0,20,10,24.69,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1971,0,20,10,25.83,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1972,0,20,10,25.57,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1973,0,20,10,30.44,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1974,0,20,10,27.58,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1975,0,20,10,33.15,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1976,0,20,10,28.68,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1977,0,20,10,35.17,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1978,0,20,10,33.36,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1979,0,20,10,25.07,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1980,0,20,10,31.71,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1981,0,20,10,25.45,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1982,0,20,10,19.51,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1983,0,20,10,21.73,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1984,0,20,10,24.0,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1985,0,20,10,21.37,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1986,0,20,10,19.1,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1987,0,20,10,15.02,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1988,0,20,10,12.81,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1989,0,20,10,12.42,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1990,0,20,10,14.34,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1991,0,20,10,10.94,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1992,0,20,10,13.4,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1993,0,20,10,9.85,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1994,0,20,10,11.37,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1995,0,20,10,10.19,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1996,0,20,10,9.83,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1997,0,20,10,9.72,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1998,0,20,10,9.97,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1999,0,20,10,7.76,"Concentration averaged for the months July, August, September for the upper 20 m of the water column",Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
