Station,Sample no,Depth sed,AT,[NO3]-,[NO2]-,[NH4]+,[PO4]3-,Cl-,[SO4]2-,Br-,B,Mn,Ca,Fe,Na,Mg,Sr,Si,Ba,Li,K,Event,Latitude,Longitude,Elevation,Date/Time
M186_50-1GC,18,0.29,2.88,,,,,567.03,27.96,891.66,0.45,18.55,11.25,74.17,483.99,53.32,95.11,0.24,237.27,27.2,10.93,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,17,0.49,2.88,0.32,0.04,66.27,0.73,567.22,27.56,896.85,0.45,26.84,11.6,88.25,482.48,52.08,99.85,0.25,303.28,26.78,10.9,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,16,0.69,2.8,2.23,0.1,71.16,1.56,567.8,27.66,885.92,0.43,28.44,11.95,29.9,482.74,52.16,104.3,0.21,302.44,26.08,10.68,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,15,0.89,2.97,0.38,0.04,96.96,0.25,568.13,27.18,898.74,0.44,27.35,12.92,104.13,482.02,51.09,115.42,0.28,263.76,26.64,10.71,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,14,1.09,2.61,0.14,0.04,108.4,0.25,568.69,26.97,896.95,0.44,25.9,13.31,103.62,481.83,50.44,119.86,0.29,259.42,26.71,10.72,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,13,1.29,2.55,0.28,0.04,109.4,0.25,566.45,26.78,898.1,0.43,24.5,13.73,100.15,484.36,50.24,125.32,0.31,243.18,26.39,10.64,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,12,1.49,2.57,0.14,0.05,130.3,0.0,571.94,26.85,900.12,0.43,22.83,14.11,92.76,481.54,49.4,130.51,0.33,237.21,26.42,10.54,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,11,1.69,2.44,0.73,0.05,137.5,0.0,573.8,26.52,911.14,0.42,18.87,15.46,84.8,484.65,48.27,144.05,0.36,234.24,26.02,10.5,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,10,1.89,2.38,0.26,0.05,147.2,0.25,572.1,26.27,897.37,0.41,16.74,16.1,79.73,482.95,47.64,151.56,0.36,231.63,25.94,10.23,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,9,2.09,2.06,0.1,0.04,169.4,0.33,570.25,25.24,908.28,0.4,11.26,17.97,79.04,479.26,45.13,173.3,0.41,220.45,25.55,10.19,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,8,2.29,1.94,0.58,0.04,168.7,0.47,571.25,25.39,900.57,0.4,10.24,18.62,80.63,480.47,44.5,179.11,0.41,216.19,25.54,10.16,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,7,2.49,1.92,0.1,0.06,156.5,0.58,567.11,25.07,902.25,0.39,9.55,19.18,83.4,480.2,43.85,184.03,0.41,215.72,25.54,10.08,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,6,2.69,1.85,0.12,0.04,172.3,0.0,569.96,25.04,907.65,0.39,9.04,19.67,87.89,479.11,43.3,189.43,0.41,209.85,25.27,10.06,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,5,2.89,1.77,0.01,0.04,155.5,0.0,569.19,24.93,908.42,0.39,8.52,20.21,89.06,481.3,42.76,194.53,0.41,209.72,25.5,10.08,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,4,3.09,1.75,0.14,0.05,172.1,0.0,567.92,24.72,896.25,0.38,8.21,20.63,91.21,480.09,42.32,199.29,0.41,208.57,25.2,9.97,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,3,3.29,1.64,0.08,0.05,169.0,0.0,572.42,24.78,908.69,0.38,7.86,21.31,93.23,482.12,41.9,205.77,0.4,208.37,25.23,9.92,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,2,3.49,2.53,11.15,0.15,52.19,0.76,565.85,27.29,895.55,0.43,5.95,13.22,16.62,482.32,51.0,115.81,0.21,215.42,27.5,10.62,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
M186_50-1GC,1,3.64,2.88,3.7,0.25,27.73,0.62,571.62,28.37,897.15,0.44,18.78,11.14,53.41,479.51,53.34,94.14,0.21,283.72,27.61,10.73,M186_50-1,38.74047,-28.58108,-1227.0,2022-12-15 15:14:36
