Event,Sample ID,Expedition,Date/Time,Year sampl,Vessel,Station,Gear,Depth water,Depth water_2,Location,Latitude,Longitude,Species UID,Species UID (Semantic URI),Species UID (URI),Order,Size,Tissue descriptor,Method comm,No spec,Life stage,Con m,Mass,Sample dm,Mass_2,Ash m,afdm,afdm_2,C/dm,N/dm,H/dm,C/N,C/N_2,C/H,H/C,Comment,H,H2O res,Sum,Sum_2,Elevation
IOS20210060_P12-2,1,IOS20210060,2021-05-06 09:09:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,122.0,whole,FD,1,O,65.3,76.6,11.3,73.8,8.5,2.8,24.8,3.61,0.74,1.87,4.88,5.69,1.93,0.518,,0.51,12.28,18.5,74.67,
IOS20210060_P26,2,IOS20210060,2021-05-11 01:36:00,2021,CCGS John P. Tully,P26,Bongo net,0,250,Northeast Pacific,50.0,-145.0,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,94.0,whole,FD,1,O,63.1,83.5,20.4,78.2,15.1,5.3,26.0,4.84,0.83,1.96,5.83,6.8,2.47,0.405,"C: 4.75, N: 0.82, H: 1.94",0.68,11.54,19.17,73.79,
IOS20210060_LJ09,3,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,118.0,whole,FD,1,O,89.7,104.2,14.5,96.9,7.2,7.3,50.3,18.66,3.28,3.52,5.69,6.64,5.3,0.1886,,2.61,8.17,33.63,66.8,
IOS20210060_LJ09,4,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,105.0,whole,FD,1,O,76.7,89.9,13.2,83.4,6.7,6.5,49.2,19.34,3.2,3.11,6.04,7.05,6.22,0.1608,,2.71,3.62,29.27,59.44,
IOS20210060_LJ09,5,IOS20210060,2021-05-24 22:52:00,2021,CCGS John P. Tully,LJ09,Bongo net,0,250,Northeast Pacific,49.269,-127.792,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,83.0,whole,FD,1,O,52.4,64.3,11.9,59.3,6.9,5.0,42.0,14.82,2.59,3.07,5.72,6.68,4.83,0.2072,,2.07,8.96,29.44,70.06,
IOS20210060_P12-1,6,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,44.0,whole,FD,1,O,63.9,94.5,30.6,83.7,19.8,10.8,35.3,7.04,1.44,2.35,4.89,5.7,3.0,0.3338,,0.99,12.28,23.11,65.48,
IOS20210060_P12-1,8,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,47.0,whole,FD,1,B,104.5,134.6,30.1,124.4,19.9,10.2,33.9,9.55,1.62,2.56,5.9,6.88,3.73,0.2681,,1.34,11.01,24.74,73.0,
IOS20210060_P12-1,9,IOS20210060,2021-05-05 07:51:00,2021,CCGS John P. Tully,P12,Bongo net,0,250,Northeast Pacific,48.97,-130.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,45.0,whole,FD,1,B,110.5,120.2,9.7,115.4,4.9,4.8,49.5,21.92,2.85,3.61,7.69,8.97,6.07,0.1647,,3.07,4.87,33.25,67.19,
IOS20210060_A2,10,IOS20210060,2021-05-06 01:41:00,2021,CCGS John P. Tully,A2,Bongo net,0,250,Northeast Pacific,48.378,-126.063,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,84.0,whole,FD,1,O,138.8,172.2,33.4,164.4,25.6,7.8,23.4,3.7,0.75,1.83,4.93,5.76,2.02,0.4946,"C: 3.56, N: 0.75, H: 1.77",0.52,11.81,18.09,77.45,
IOS20210060_P8,12,IOS20210060,2021-05-05 13:37:00,2021,CCGS John P. Tully,P8,Bongo net,0,250,Northeast Pacific,48.817,-128.667,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137270,Salpida,105.0,whole,OD,1,O,56.5,85.8,29.3,73.6,17.1,12.2,41.6,15.79,2.09,2.97,7.56,8.81,5.32,0.1881,,2.21,6.83,27.68,66.49,
