Event,Date/Time,Latitude,Longitude,Sample no,Depth ice/snow,Density ice,Depth desc,IMAGE
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-60,0.04,0.3915,0.08,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-59,0.09,0.4206,0.12,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-58,0.13,0.4214,0.12,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-57,0.17,0.4777,0.24,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-56,0.21,0.4415,0.24,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-55,0.24,0.4766,0.29,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-54,0.29,0.4533,0.48,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-53,0.34,0.5304,0.48,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-52,0.37,0.4414,0.55,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-51,0.41,0.4493,0.55,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-50,0.44,0.4159,0.58,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-49,0.48,0.459,0.64,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-48,0.51,0.4573,0.67,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-47,0.56,0.4394,0.71,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-46,0.6,0.4254,0.71,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-45,0.65,0.4254,0.83,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-44,0.69,0.4708,0.86,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-43,0.72,0.4757,0.95,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-42,0.76,0.4852,0.96,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-41,0.81,0.4971,0.98,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-40,0.87,0.5171,0.98,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-39,0.91,0.4462,1.03,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-38,0.94,0.4072,1.03,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-37,0.98,0.4456,1.06,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-36,1.02,0.4777,1.06,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-35,1.05,0.4196,1.51,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-34,1.09,0.3858,1.51,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-33,1.12,0.4818,1.66,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-32,1.16,0.4874,2.0,NM01_04_S01.png
NM01_04_S01,2004-12-29,-70.65491,-8.25491,J*-05-NM-31,1.2,0.4428,,NM01_04_S01.png
