Age,Age_2,Porites sp. Sr/Ca,Porites sp. Mg/Ca,Porites sp. δ18O,Porites sp. δ13C,Event,Latitude,Longitude,Elevation,Date/Time
-0.057625,2007.625,9.078,4.8,-4.38,-1.88,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057541,2007.541,9.069,4.866,-4.41,-2.04,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057458,2007.458,9.033,4.984,-4.52,-2.25,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057375,2007.375,8.992,5.011,-4.64,-2.51,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057291,2007.291,8.969,4.983,-4.72,-2.89,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057208,2007.208,8.958,5.03,-4.74,-2.58,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057125,2007.125,8.973,4.993,-4.66,-2.35,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.057041,2007.041,8.998,4.941,-4.58,-2.2,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056958,2006.958,9.031,4.88,-4.52,-2.15,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056875,2006.875,9.045,4.861,-4.47,-2.06,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056791,2006.791,9.056,4.82,-4.42,-2.06,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056708,2006.708,9.066,4.767,-4.36,-2.09,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056625,2006.625,9.065,4.753,-4.31,-2.11,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056541,2006.541,9.039,4.805,-4.36,-2.2,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056458,2006.458,9.032,4.817,-4.37,-2.18,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056375,2006.375,9.017,4.802,-4.48,-2.14,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056291,2006.291,9.004,4.813,-4.55,-2.31,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056208,2006.208,8.998,4.826,-4.52,-2.46,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056125,2006.125,9.006,4.835,-4.64,-2.42,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.056041,2006.041,9.024,4.842,-4.63,-2.38,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055958,2005.958,9.032,4.875,-4.58,-2.25,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055875,2005.875,9.027,4.9,-4.55,-2.06,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055791,2005.791,9.045,4.896,-4.49,-2.09,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055708,2005.708,9.085,4.92,-4.45,-2.32,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055625,2005.625,9.091,4.931,-4.47,-2.52,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055541,2005.541,9.067,4.889,-4.49,-2.47,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055458,2005.458,9.045,4.868,-4.5,-2.39,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055375,2005.375,9.023,4.951,-4.53,-2.41,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055291,2005.291,9.004,5.046,-4.58,-2.5,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055208,2005.208,8.989,5.129,-4.65,-2.63,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.055125,2005.125,9.012,5.005,-4.63,-2.44,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
