Event,Latitude,Longitude,Date/Time,Sample ID,Depth ice/snow,Samp type,Sample comment,Samp mat,LOI,Carb,137Cs,137Cs e,210Pb,210Pb e,214Pb,214Pb e,210Pb xs,210Pb xs e,241Am,241Am e,207Bi,207Bi e,228Ac,228Ac e,7Be,7Be e,40K,40K e,238Pu,238Pu_2,239+240Pu,239+240Pu e,238/(239+240)Pu,238/(239+240)Pu e,240Pu/239Pu atom std dev,240Pu/239Pu atom,Elevation
Flade_Isblink_ice_cap_FI-02,81.5171,-15.9074,2022-08-02 22:00:00,FI-02,0,cryoconite,dry,granular,5.2,5.9,226.5,19.1,412.9,49.3,35.3,6.2,377.6,55.5,2.59,1.39,2.0,,110.0,18.2,18.8,,2027,178.0,0.44,0.083,6.307,0.493,0.07,0.014,0.1739,0.0022,62.72
Flade_Isblink_ice_cap_FI-03,81.5171,-15.9069,2022-08-02 22:05:00,FI-03,0,cryoconite,wet,intermediate,2.4,2.8,78.4,7.0,192.0,36.7,24.8,6.2,167.19,42.92,2.3,,2.5,,96.0,20.4,79.6,37.9,1636,159.0,0.116,0.042,2.489,0.199,0.047,0.017,0.1742,0.0034,67.85
Flade_Isblink_ice_cap_FI-04,81.5171,-15.9056,2022-08-02 22:10:00,FI-04,0,cryoconite,wet,fine,4.1,4.8,56.4,5.0,316.7,52.1,35.3,6.2,281.4,58.33,2.56,1.3,1.7,,79.5,15.4,100.9,36.3,1922,245.0,0.095,0.036,3.57,0.293,0.027,0.01,0.1902,0.0044,72.77
Flade_Isblink_ice_cap_FI-05,81.5173,-15.9049,2022-08-02 22:15:00,FI-05,0,cryoconite,dry,fine,4.3,5.1,59.2,5.3,311.5,49.6,32.8,5.1,278.74,54.64,2.1,,1.7,,81.2,12.6,242.4,54.8,1990,252.0,0.088,0.044,2.761,0.216,0.032,0.016,0.175,0.0059,71.62
Flade_Isblink_ice_cap_FI-06,81.5173,-15.905,2022-08-02 22:20:00,FI-06,0,cryoconite,dry,fine,3.9,4.5,74.7,6.8,416.4,68.0,34.7,7.8,381.75,75.79,2.5,,2.5,,84.3,14.3,142.2,46.9,1843,242.0,0.12,0.101,2.791,0.274,0.043,0.036,0.1629,0.0034,71.85
Flade_Isblink_ice_cap_FI-07,81.5174,-15.905,2022-08-02 22:25:00,FI-07,0,cryoconite,dry,fine,3.3,4.0,103.7,9.3,357.2,43.7,32.9,5.3,324.3,49.0,2.45,1.3,1.6,,95.7,13.0,17.2,,1990,177.0,0.125,0.07,2.369,0.216,0.053,0.03,0.1725,0.0024,73.82
Flade_Isblink_ice_cap_FI-08,81.5173,-15.9041,2022-08-02 22:30:00,FI-08,0,cryoconite,dry,fine,2.8,3.2,64.7,6.3,250.0,36.3,31.0,5.2,219.0,41.5,1.9,,1.7,,73.8,9.3,317.2,108.2,1839,164.0,,,,,,,,,71.17
Flade_Isblink_ice_cap_FI-09,81.5173,-15.9042,2022-08-02 22:35:00,FI-09,0,cryoconite,wet,fine,2.7,3.2,74.9,7.1,341.0,43.2,30.6,4.8,310.4,48.0,2.47,1.2,1.4,,79.9,10.5,270.4,116.6,1791,159.0,,,,,,,,,68.28
Flade_Isblink_ice_cap_FI-10,81.5174,-15.904,2022-08-02 22:40:00,FI-10,0,cryoconite,dry,fine,3.3,3.8,72.2,6.9,548.2,61.3,31.2,4.8,517.0,66.1,2.0,,1.8,,81.0,14.1,209.6,105.1,1901,166.0,0.204,0.043,2.585,0.236,0.079,0.018,0.1617,0.004,69.94
Flade_Isblink_ice_cap_FI-11,81.5175,-15.9033,2022-08-02 22:45:00,FI-11,0,cryoconite,wet,granular,5.3,6.0,221.9,18.4,347.1,48.8,34.4,6.3,312.7,55.08,3.72,1.44,1.9,,97.6,18.5,74.9,33.3,1954,248.0,0.409,0.063,7.615,0.536,0.054,0.009,0.174,0.0017,70.41
Flade_Isblink_ice_cap_FI-12a,81.5176,-15.9012,2022-08-02 22:50:00,FI-12a,0,cryoconite,wet,intermediate,3.8,4.3,127.8,11.3,564.1,62.7,29.9,5.2,534.2,67.9,2.3,1.3,1.7,,101.5,16.8,502.2,197.8,1999,178.0,0.189,0.06,3.33,0.288,0.057,0.019,0.179,0.0042,73.14
Flade_Isblink_ice_cap_FI-12b,81.5176,-15.9012,2022-08-02 22:55:00,FI-12b,0,cryoconite,wet,intermediate,3.9,4.5,150.0,13.0,568.6,65.1,31.3,5.1,537.3,70.2,2.41,1.3,1.8,,95.0,15.8,421.8,174.9,1984,175.0,0.236,0.039,4.233,0.348,0.056,0.01,0.174,0.0031,73.14
Flade_Isblink_ice_cap_FI-13,81.5177,-15.8997,2022-08-02 23:00:00,FI-13,0,cryoconite,dry,intermediate,3.7,4.2,92.6,11.9,587.4,83.9,26.5,5.4,560.9,89.3,2.25,1.23,4.41,2.21,85.6,14.5,16.3,,1833,164.0,0.288,0.082,3.056,0.257,0.094,0.028,0.178,0.002,74.48
