Sample ID,Sample label,Thick,Ratio,Strat height,Qz,Clay,Cal,Gp,Dol,Py,Event,Latitude,Longitude,Elevation,Date/Time
ST18M3,ST 18M,20,0.95,12.5,13,41,36,1.0,0.0,9.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST18L3,ST 18L,19,,12.69,5,9,83,0.0,0.0,3.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19MA3,ST 18AM,19,1.0,12.88,13,44,33,1.0,0.0,9.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19LA3,ST 18AL,19,,13.07,9,32,57,0.0,0.0,2.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19MB3,ST 18BM,20,0.95,13.27,10,35,45,1.0,0.5,9.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19LB3,ST 18BL,19,,13.46,9,25,61,0.0,1.0,4.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19MC3,ST 19M,20,1.15,13.65,11,40,44,1.0,0.0,4.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST19LC2,ST 19L,23,,13.87,3,11,84,0.0,0.0,2.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST20M2,ST 20M,11,1.36,14.04,12,50,28,0.0,4.0,6.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST20L3,ST 20L,15,,14.17,3,13,82,0.0,0.0,2.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST21M3,ST 21M,21,0.81,14.35,12,45,32,1.0,2.0,8.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST21L3,ST 21L,17,,14.54,4,15,79,0.0,0.0,2.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22MA3,ST 21AM,22,0.36,14.74,10,37,44,0.5,2.0,7.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22LA3,ST 21AL,8,,14.89,10,29,55,0.0,2.0,4.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22MB5,ST 21BM,30,0.33,15.08,9,43,48,0.5,0.0,0.5,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22LB3,ST 21BL,10,,15.28,10,30,54,0.0,2.0,4.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22MC2,ST 22M,20,1.15,15.43,10,47,38,0.0,2.0,3.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22LC4,ST 22L,23,,15.73,3,14,81,0.0,0.0,2.0,Santiurde_section,43.0685608,-4.0878295,730.0,
ST22AM3,ST 22AM,19,,15.85,12,48,36,0.0,0.0,4.0,Santiurde_section,43.0685608,-4.0878295,730.0,
