Event,Latitude,Longitude,Depth ice/snow,Depth ice/snow top,Depth ice/snow bot,Date/Time,Density snow
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.025,0.0,0.05,2021-12-10 13:50:00,300
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.075,0.05,0.1,2021-12-10 13:50:00,440
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.125,0.1,0.15,2021-12-10 13:50:00,400
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.175,0.15,0.2,2021-12-10 13:50:00,400
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.225,0.2,0.25,2021-12-10 13:50:00,380
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.275,0.25,0.3,2021-12-10 13:50:00,400
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.35,0.3,0.4,2021-12-10 13:50:00,398
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.45,0.4,0.5,2021-12-10 13:50:00,419
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.55,0.5,0.6,2021-12-10 13:50:00,398
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.65,0.6,0.7,2021-12-10 13:50:00,429
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.75,0.7,0.8,2021-12-10 13:50:00,303
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.85,0.8,0.9,2021-12-10 13:50:00,440
DML21/22_Refl01LG,-73.3207196,-13.0862495,0.95,0.9,1.0,2021-12-10 13:50:00,398
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.05,1.0,1.1,2021-12-10 13:50:00,440
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.15,1.1,1.2,2021-12-10 13:50:00,460
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.25,1.2,1.3,2021-12-10 13:50:00,481
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.65,1.6,1.7,2021-12-10 13:50:00,408
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.75,1.7,1.8,2021-12-10 13:50:00,481
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.85,1.8,1.9,2021-12-10 13:50:00,460
DML21/22_Refl01LG,-73.3207196,-13.0862495,1.95,1.9,2.0,2021-12-10 13:50:00,502
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.05,2.0,2.1,2021-12-10 13:50:00,628
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.15,2.1,2.2,2021-12-10 13:50:00,356
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.25,2.2,2.3,2021-12-10 13:50:00,419
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.36,2.3,2.41,2021-12-10 13:50:00,552
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.45,2.41,2.5,2021-12-10 13:50:00,267
DML21/22_Refl01LG,-73.3207196,-13.0862495,2.55,2.5,2.6,2021-12-10 13:50:00,398
