Event,Sample ID,Section,Age,SR,Reference,Latitude,Longitude,Date/Time
Kiwada_Kazusa_Chiba_Ono_River_section,C0321-08,146.27,1198,104.0,This study,35.27,140.29,
Kiwada_Kazusa_Chiba_Ono_River_section,C0321-06,144.19,1200,142.0,This study,35.27,140.29,
Kiwada_Kazusa_Chiba_Ono_River_section,C0321-03,141.35,1202,58.0,This study,35.27,140.29,
Kiwada_Kazusa_Chiba_Yuki_River_section,A0926-02,139.05,1206,195.0,This study,35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0608-12,123.43,1214,54.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0608-10,121.28,1218,59.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0608-09,120.1,1220,63.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1122-03,107.58,1240,152.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1012-01,95.39,1248,177.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1011-02,88.31,1252,136.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1011-01,85.6,1254,223.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0412-03,72.21,1260,242.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0711-01,67.38,1262,87.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0711-04,56.99,1274,129.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1031-03,49.23,1280,225.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A1031-06,26.78,1290,193.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0711-13,19.07,1294,144.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,B0711-14,16.19,1296,117.0,Kuwano et al. (2021),35.22,140.15,
Kiwada_Kazusa_Chiba_Yuki_River_section,A0921-01,-0.15,1310,,Kuwano et al. (2021),35.22,140.15,
