Area,Year obs,Date/time start,Date/time end,Content,GeoTIFF,Shapefile,File type,Site info,Event,Latitude,Longitude,Date/Time
"Aalen, Germany",1984,1984-08-01,1984-10-31,6 band color composits,c7126_Aalen_bands_19840801-19841031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1985,1985-05-01,1985-07-31,6 band color composits,c7126_Aalen_bands_19850501-19850731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1985,1985-08-01,1985-10-31,6 band color composits,c7126_Aalen_bands_19850801-19851031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1986,1986-05-01,1986-07-31,6 band color composits,c7126_Aalen_bands_19860501-19860731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1986,1986-08-01,1986-10-31,6 band color composits,c7126_Aalen_bands_19860801-19861031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1988,1988-05-01,1988-07-31,6 band color composits,c7126_Aalen_bands_19880501-19880731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1988,1988-08-01,1988-10-31,6 band color composits,c7126_Aalen_bands_19880801-19881031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1989,1989-05-01,1989-07-31,6 band color composits,c7126_Aalen_bands_19890501-19890731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1989,1989-08-01,1989-10-31,6 band color composits,c7126_Aalen_bands_19890801-19891031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1990,1990-05-01,1990-07-31,6 band color composits,c7126_Aalen_bands_19900501-19900731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
