Event,Latitude,Longitude,Site,Source,URL ref,δ34S Py,Age,Samp type,Dist shore,Water depth descr,Elevation,Depth sed,SR,CH4,Main lith,CaCO3,TOC,Analyt method,Date/Time
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-26.3,-2.8,Sediment core,46.0,Slope,-252.0,4.9,,Low,Sand,26.59,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.5,-2.0,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.8,-1.4,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.2,-1.9,Sediment core,46.0,Slope,-252.0,9.3,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-32.4,-3.5,Sediment core,46.0,Slope,-252.0,10.9,,Low,Sand,45.09,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-26.8,-2.9,Sediment core,46.0,Slope,-252.0,12.4,,Low,Sand,55.7,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-23.3,-2.5,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,55.7,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.9,-2.0,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,37.8,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-22.0,-2.3,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-19.5,-2.1,Sediment core,46.0,Slope,-252.0,14.1,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-4.9,-0.5,Sediment core,46.0,Slope,-252.0,14.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-9.3,-1.0,Sediment core,46.0,Slope,-252.0,52.6,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-7.6,-0.8,Sediment core,46.0,Slope,-252.0,52.6,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.8,-1.4,Sediment core,46.0,Slope,-252.0,56.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-15.6,-1.7,Sediment core,46.0,Slope,-252.0,56.2,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-24.3,-2.6,Sediment core,46.0,Slope,-252.0,69.4,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-18.9,-2.0,Sediment core,46.0,Slope,-252.0,80.3,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-16.2,-1.7,Sediment core,46.0,Slope,-252.0,80.3,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-14.0,-1.5,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,53.68,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-13.2,-1.4,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,58.76,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-11.3,-1.2,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,58.76,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-10.3,-1.1,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,,,TRS,1986-11-05 00:00:00
112-680,-11.065,-78.0778,ODP-112-680,Aplin et al. (1992),doi:10.1144/GSL.SP.1992.064.01.09,-12.5,-1.3,Sediment core,46.0,Slope,-252.0,88.0,,Low,Sand,,,TRS,1986-11-05 00:00:00
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-26.9,2.3,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-27.3,2.3,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-31.0,3.5,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
Arning_etal_2009,-10.041,-79.076,,Arning et al. (2009),doi:10.1111/j.1472-4669.2009.00197.x,-29.9,1.1,Rock,,Below SWB,,,,,Phosphorite,,,CRS,
