Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Agop Atas,Malaysia,Sabah,Isotopiclabinstofgeo,Uncalibrated,Radiocarbon age,10.8,1800.0,,,"Harrisson, T., & Harrisson, B. (1971). The Prehistory Of Sabah",19.08,8.54
Agop Atas,Malaysia,Sabah,ANU-2397,Uncalibrated,Radiocarbon age,7.92,370.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",9.684,8.01
Agop Atas,Malaysia,Sabah,ANU-2943,Uncalibrated,Radiocarbon age,2.7,70.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",2.991,2.721
Agop Atas,Malaysia,Sabah,MAD1,Calibrated,Radiocarbon age,,,10.65,100.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",12.822,12.197
Agop Atas,Malaysia,Sabah,ANU-3086,Calibrated,Radiocarbon age,,,9.15,100.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",10.645,9.969
Agop Atas,Malaysia,Sabah,ANU-2397,Calibrated,Radiocarbon age,,,7.92,370.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",9.684,8.01
Agop Atas,Malaysia,Sabah,ANU-3087,Calibrated,Radiocarbon age,,,7.69,100.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",8.767,8.216
Agop Atas,Malaysia,Sabah,ANU-2398,Calibrated,Radiocarbon age,,,7.39,270.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",8.975,7.676
Agop Sarapad,Malaysia,Sabah,ANU-2554,Calibrated,Radiocarbon age,,,10.45,110.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",12.682,11.948
Agop Sarapad,Malaysia,Sabah,bell1,Calibrated,Radiocarbon age,,,9.91,100.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",11.801,11.179
Agop Sarapad,Malaysia,Sabah,ANU-2553,Calibrated,Radiocarbon age,,,9.52,100.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",11.175,10.572
Bario,Malaysia,Sarawak,UBA-10001,Uncalibrated,Radiocarbon age,4.841,29.0,,,"Jones, S. E., Barton, H., Hunt, C. O., Janowski, M., Lloyd-Smith, L., & Barker, G. (2016). The cultural antiquity of rainforests: Human–plant associations during the mid-late Holocene in the interior highlands of Sarawak, Malaysian Borneo. Quaternary International, 416, 80–94. https://doi.org/10.1016/j.quaint.2015.11.024; Jones, S. E., Hunt, C., & Reimer, P. J. (2013). A 2300 yr record of sago and rice use from the southern Kelabit Highlands of Sarawak, Malaysian Borneo. Holocene, 23(5), 708–720. https://doi.org/10.1177/0959683612470180",5.65,5.477
Bario,Malaysia,Sarawak,UBA-10001,Uncalibrated,Radiocarbon age,4.841,29.0,,,"Jones, S. E., Barton, H., Hunt, C. O., Janowski, M., Lloyd-Smith, L., & Barker, G. (2016). The cultural antiquity of rainforests: Human–plant associations during the mid-late Holocene in the interior highlands of Sarawak, Malaysian Borneo. Quaternary International, 416, 80–94. https://doi.org/10.1016/j.quaint.2015.11.024; Jones, S. E., Hunt, C., & Reimer, P. J. (2013). A 2300 yr record of sago and rice use from the southern Kelabit Highlands of Sarawak, Malaysian Borneo. Holocene, 23(5), 708–720. https://doi.org/10.1177/0959683612470180",5.65,5.477
Bario,Malaysia,Sarawak,UBA-10001,Uncalibrated,Radiocarbon age,4.841,29.0,,,"Barker, G., Hunt, C., Barton, H., Gosden, C., Jones, S., Lloyd-Smith, L., Farr, L., Nyirí, B., & O’Donnell, S. (2017). The ‘cultured rainforests’ of Borneo. Quaternary International, 448, 44–61. https://doi.org/10.1016/j.quaint.2016.08.018",5.65,5.477
Bario,Malaysia,Sarawak,UBA-9995,Uncalibrated,Radiocarbon age,2.428,42.0,,,"Jones, S. E., Hunt, C. O., Barton, H., Lentfer, C. J., & Reimer, P. J. (2013). Forest disturbance, arboriculture and the adoption of rice in the Kelabit Highlands of Sarawak, Malaysian Borneo. Holocene, 23(11), 1528–1546. https://doi.org/10.1177/0959683613496293",2.703,2.351
Bario,Malaysia,Sarawak,UBA-9995,Uncalibrated,Radiocarbon age,2.428,42.0,,,"Barker, G., Hunt, C., Barton, H., Gosden, C., Jones, S., Lloyd-Smith, L., Farr, L., Nyirí, B., & O’Donnell, S. (2017). The ‘cultured rainforests’ of Borneo. Quaternary International, 448, 44–61. https://doi.org/10.1016/j.quaint.2016.08.018",2.703,2.351
