Depth sed,Epoch,Sample label,Leg,Site,H,Core,Type,Sect,Sect_2,Sect_3,Al,Ca,Fe,K,Mn,Na,P,Mo,U,N,S,TOC,TC,Fe/Al,Mn/Al,Mo xs,U xs,EF,EF_2,Feac,FeD,Femag,Fe Py,Fe react,Ratio,Ratio_2,δ15N,δ13C Corg,δ98Mo auth,δ98Mo std dev,Event,Latitude,Longitude,Elevation,Date/Time
0.72,Pleistocene,"112-680A-1H-1,72-73",112,680,A,1,H,1,72,73,42.45,69.96,16.05,11.39,0.2,35.06,3.24,34.86,11.13,0.98,0.95,8.82,10.3,0.38,4.64,33.75,9.56,31.59,7.08,0.11,0.2,0.07,0.11,0.49,0.31,0.22,4.39,-21.31,1.47,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
2.41,Pleistocene,"112-680A-1H-2,91-92",112,680,A,1,H,2,91,92,47.1,18.32,18.48,14.09,0.24,36.42,3.35,67.68,13.41,0.76,1.32,7.79,7.79,0.39,5.05,66.46,11.67,55.27,7.7,0.4,0.2,0.07,0.18,0.85,0.46,0.21,5.37,-21.73,1.47,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
3.85,Pleistocene,"112-680A-1H-3,85-86",112,680,A,1,H,3,85,86,55.02,13.84,22.9,14.89,0.28,25.81,3.32,52.85,9.67,0.41,0.88,4.48,4.52,0.42,5.1,51.42,7.63,36.94,4.75,0.44,0.24,0.07,0.23,0.97,0.42,0.24,2.59,-21.47,1.64,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
5.37,Pleistocene,"112-680A-1H-4,87-88",112,680,A,1,H,4,87,88,45.82,55.46,19.11,12.97,0.24,25.64,3.44,38.75,9.24,0.44,1.53,5.13,6.56,0.42,5.27,37.56,7.54,32.53,5.45,0.33,0.15,0.07,0.22,0.77,0.4,0.29,2.96,-22.35,1.19,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
6.26,Pleistocene,"112-680A-1H-5,26-27",112,680,A,1,H,5,26,27,39.95,80.26,16.29,11.42,0.2,23.72,2.94,31.89,11.1,0.5,1.86,6.14,7.74,0.41,5.07,30.85,9.62,30.7,7.51,0.25,0.13,0.07,0.23,0.67,0.41,0.34,1.89,-22.08,1.28,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
7.55,Pleistocene,"112-680A-1H-6,5-6",112,680,A,1,H,6,5,6,53.77,18.19,28.3,13.53,0.36,27.1,1.25,114.87,6.44,0.37,1.23,3.58,4.36,0.53,6.76,113.47,4.45,82.17,3.23,0.59,0.26,0.08,0.48,1.41,0.5,0.34,5.88,-21.91,1.01,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
8.2,Pleistocene,"112-680A-2H-1,22-23",112,680,A,2,H,1,22,23,35.06,68.51,15.65,10.67,0.2,29.66,2.71,56.04,15.15,0.56,1.7,7.12,8.53,0.45,5.78,55.13,13.85,61.47,11.68,0.32,0.14,0.06,0.34,0.86,0.55,0.4,7.41,-21.42,1.48,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
10.11,Pleistocene,"112-680A-2H-2,31-32",112,680,A,2,H,2,31,32,60.52,32.27,25.7,17.42,0.36,24.52,3.6,29.58,8.01,0.42,1.49,5.22,5.51,0.42,5.97,28.01,5.77,18.8,3.58,0.42,0.24,0.08,0.38,1.12,0.43,0.34,8.31,-21.79,1.32,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
11.52,Pleistocene,"112-680A-2H-3,22-23",112,680,A,2,H,3,22,23,47.77,20.49,19.75,13.75,0.22,29.86,4.01,52.61,22.95,0.72,1.87,9.12,9.11,0.41,4.69,51.37,21.18,42.36,12.99,0.3,0.19,0.07,0.38,0.92,0.47,0.41,4.95,-22.53,1.35,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
13.02,Pleistocene,"112-680A-2H-4,22-23",112,680,A,2,H,4,22,23,57.33,16.91,23.56,15.75,0.24,28.94,4.0,51.51,13.9,0.58,1.82,6.64,7.19,0.41,4.18,50.02,11.78,34.56,6.55,0.35,0.25,0.08,0.41,1.09,0.46,0.38,4.32,-22.01,1.16,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
14.57,Pleistocene,"112-680A-2H-5,27-28",112,680,A,2,H,5,27,28,53.01,46.77,23.19,13.86,0.32,21.77,2.67,29.69,6.93,0.25,1.34,3.13,4.12,0.44,6.06,28.31,4.97,21.54,3.53,0.46,0.16,0.06,0.39,1.07,0.46,0.37,4.33,-21.98,1.22,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
16.0,Pleistocene,"112-680A-2H-6,20-21",112,680,A,2,H,6,20,21,60.59,11.91,22.46,17.07,0.27,25.56,2.97,50.07,15.55,0.53,1.74,6.5,6.51,0.37,4.52,48.5,13.3,31.79,6.93,0.49,0.21,0.08,0.33,1.11,0.49,0.3,6.19,-22.07,1.4,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
17.74,Pleistocene,"112-680A-2H-7,44-46",112,680,A,2,H,7,44,46,47.5,20.02,20.44,13.75,0.24,27.53,3.61,44.76,18.48,0.75,2.35,9.32,9.84,0.43,5.07,43.53,16.72,36.24,10.52,0.39,0.21,0.06,0.38,1.04,0.51,0.37,4.47,-22.3,1.23,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
18.07,Pleistocene,"112-680A-3H-1,27-28",112,680,A,3,H,1,27,28,63.66,43.56,24.13,17.68,0.35,22.13,2.82,33.82,6.81,0.22,1.36,2.6,3.38,0.38,5.5,32.16,4.45,20.43,2.89,0.41,0.19,0.07,0.37,1.04,0.43,0.35,3.28,-22.51,1.21,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
19.1,Pleistocene,"112-680A-3H-1,130-131",112,680,A,3,H,1,130,131,47.85,66.76,19.05,13.04,0.25,27.1,2.7,40.18,11.68,0.57,1.67,7.64,9.08,0.4,5.18,38.94,9.91,32.3,6.59,0.22,0.16,0.05,0.39,0.82,0.43,0.48,3.12,-22.24,1.42,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
20.46,Pleistocene,"112-680A-3H-2,116-117",112,680,A,3,H,2,116,117,52.25,49.97,17.07,14.2,0.27,22.52,5.76,32.98,13.32,0.39,1.46,4.89,5.76,0.33,5.09,31.62,11.39,24.28,6.89,0.23,0.13,0.05,0.39,0.79,0.46,0.49,3.17,-22.44,1.24,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
21.05,Pleistocene,"112-680A-3H-3,25-27",112,680,A,3,H,3,25,27,53.73,64.32,13.76,14.4,0.3,19.07,6.13,8.08,10.09,0.12,0.46,1.36,2.51,0.26,5.52,6.68,8.1,5.78,5.08,0.13,0.08,0.03,0.19,0.44,0.32,0.44,3.9,-22.32,1.42,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
22.05,Pleistocene,"112-680A-3H-3,125-126",112,680,A,3,H,3,125,126,54.19,32.14,29.0,14.63,0.39,26.75,1.04,104.69,3.84,0.21,1.8,2.69,2.77,0.54,7.12,103.28,1.84,74.3,1.92,0.71,0.25,0.05,0.61,1.62,0.56,0.38,7.35,-22.48,1.04,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
23.49,Pleistocene,"112-680A-3H-4,119-121",112,680,A,3,H,4,119,121,58.19,13.65,25.3,16.98,0.32,29.77,2.1,47.58,13.62,0.49,1.75,6.12,6.2,0.43,5.53,46.07,11.47,31.45,6.33,0.6,0.22,0.07,0.42,1.31,0.52,0.32,7.21,-22.09,1.03,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
24.2,Pleistocene,"112-680A-3H-5,40-41",112,680,A,3,H,5,40,41,63.23,15.87,25.81,17.76,0.3,25.92,2.99,42.49,9.04,0.35,1.29,4.21,4.21,0.41,4.77,40.84,6.7,25.84,3.86,0.55,0.26,0.07,0.26,1.14,0.44,0.23,4.83,-21.99,1.5,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
25.55,Pleistocene,"112-680A-3H-6,25-27",112,680,A,3,H,6,25,27,47.96,89.4,12.42,13.24,0.27,18.42,3.54,7.13,8.8,0.09,0.31,1.0,3.8,0.26,5.71,5.88,7.03,5.72,4.96,0.2,0.17,0.03,0.22,0.63,0.5,0.35,3.07,-21.9,1.67,0.09,112-680A,-11.065,-78.07783,-272.0,1986-11-05 07:15:00
