Depth sed,Sect,Depth sect,Core diam dev,P-wave travel time,Vp-a,AGR,Event,Latitude,Longitude,Elevation,Date/Time
-0.31,cal,0.0,4.13,117.65,86,16540.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.3,cal,1.0,4.76,91.35,100,11383.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.29,cal,2.0,4.85,91.3,100,11311.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.28,cal,3.0,4.85,91.25,100,11302.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.27,cal,4.0,4.89,96.3,100,11606.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.26,cal,5.0,4.52,101.75,60,11672.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.25,cal,6.0,1.7,90.5,100,11738.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.24,cal,7.0,0.62,89.2,100,11812.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.23,cal,8.0,0.0,89.05,100,11773.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.22,cal,9.0,-0.33,88.75,100,11742.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.21,cal,10.0,-0.38,88.65,100,11735.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.2,cal,11.0,-0.41,88.65,100,11814.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.19,cal,12.0,-0.48,88.65,100,11671.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.18,cal,13.0,-0.5,88.65,100,11724.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.17,cal,14.0,-0.5,88.65,100,11742.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.16,cal,15.0,-0.52,88.65,100,11819.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.15,cal,16.0,-0.54,88.6,100,11773.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.14,cal,17.0,-0.54,88.6,100,11780.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.13,cal,18.0,-0.55,88.6,100,11733.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.12,cal,19.0,-0.55,88.6,100,11768.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.11,cal,20.0,-0.55,88.6,100,11749.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.1,cal,21.0,-0.55,88.55,100,11804.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.09,cal,22.0,-0.55,88.55,100,11728.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.08,cal,23.0,-0.34,88.7,100,11790.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.07,cal,24.0,0.27,89.0,100,11783.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.06,cal,25.0,2.72,152.1,60,11679.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.05,cal,26.0,4.1,101.75,60,11687.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.04,cal,27.0,4.39,91.3,100,11534.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.03,cal,28.0,4.42,90.95,100,11330.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.02,cal,29.0,4.47,91.2,100,11392.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
-0.01,cal,30.0,4.39,90.7,100,11642.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.0,cal,31.0,3.61,95.6,100,22628.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.01,1,1.0,3.7,100.0,60,26775.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.02,1,2.0,3.77,93.65,100,12647.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.03,1,3.0,3.78,93.6,100,8202.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.04,1,4.0,3.79,94.8,78,8458.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.05,1,5.0,3.59,152.1,60,8455.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.06,1,6.0,1.01,152.05,60,8451.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.07,1,7.0,-0.18,91.7,100,8529.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.08,1,8.0,-0.59,91.75,100,8420.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.09,1,9.0,-0.64,91.75,100,8142.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.1,1,10.0,-0.68,91.5,100,8243.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.11,1,11.0,-0.79,91.5,100,8202.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.12,1,12.0,-0.9,91.6,100,8207.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.13,1,13.0,-0.98,92.15,100,7510.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.14,1,14.0,-1.07,84.75,100,7410.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.15,1,15.0,-1.17,91.3,100,8043.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.16,1,16.0,-1.29,91.3,100,8032.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.17,1,17.0,-1.44,91.25,100,8052.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.18,1,18.0,-1.53,91.25,100,8123.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.19,1,19.0,-1.65,91.25,100,8066.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.2,1,20.0,-1.76,91.15,100,8037.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.21,1,21.0,-1.86,91.15,100,7912.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.22,1,22.0,-1.95,91.35,100,7664.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.23,1,23.0,-2.04,91.1,100,7934.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.24,1,24.0,-2.1,91.25,100,7998.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.25,1,25.0,-2.22,91.25,100,8006.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
0.26,1,26.0,-2.27,91.3,100,8105.0,MSM44_362-1,75.97917,-66.04717,-705.0,2015-07-12 15:22:00
