Site,Latitude,Longitude,Elevation,N trunks,N trunks_2,Boulder diam,Boulder diam_2,Boulder diam_3,Boulder diam_4,Boulder diam_5,Boulder diam_6,Boulder diam_7,Boulder diam_8,Boulder diam_9,Boulder diam_10,Boulder diam_11,Boulder diam_12,Boulder diam_13,Boulder diam_14,Boulder diam_15,Boulder diam_16,Boulder diam_17,Boulder diam_18,Boulder diam_19,Boulder diam_20,Boulder diam_21,Boulder diam_22,Boulder diam_23,Boulder diam_24,Boulder diam_25,Event,Date/Time
Site 1,49.2725,20.0358,1180,2,4,51,33,52,45,57,39,39,51,56,37,41,43,39,59,67,52,51,56,56,66,46,54,53,52,51,Sucha_Woda_Flood,2018-07-24
Site 2,49.273,20.035,1177,1,2,75,68,69,71,73,100,57,49,53,64,61,76,77,54,83,76,80,83,62,120,67,88,72,70,68,Sucha_Woda_Flood,2018-07-24
Site 3,49.2741,20.035,1165,16,11,108,76,80,100,40,70,94,80,120,90,75,80,70,75,80,77,60,110,68,94,66,71,75,83,81,Sucha_Woda_Flood,2018-07-24
Site 4,49.2813,20.0336,1105,36,16,165,140,130,130,160,140,120,200,90,90,100,110,165,90,115,150,140,135,170,105,190,170,140,100,100,Sucha_Woda_Flood,2018-07-24
Site 5,49.283,20.0336,1089,13,7,150,120,130,110,110,140,130,80,75,80,170,140,75,130,60,90,80,85,85,80,95,90,80,130,190,Sucha_Woda_Flood,2018-07-24
Site 6,49.2838,20.0383,1047,22,13,194,176,200,176,192,199,170,187,166,196,170,178,175,270,178,198,187,202,178,187,209,178,162,196,170,Sucha_Woda_Flood,2018-07-24
Site 7,49.2847,20.0416,1017,18,16,151,199,178,215,167,140,131,199,153,200,173,157,140,150,230,154,198,182,167,154,167,182,185,167,161,Sucha_Woda_Flood,2018-07-24
Site 8,49.2852,20.0455,919,28,20,110,120,120,100,135,80,80,120,140,120,150,100,140,135,100,145,150,80,170,140,110,100,150,150,150,Sucha_Woda_Flood,2018-07-24
Site 9,49.2852,20.0458,987,13,14,100,80,85,120,90,100,70,90,65,70,65,110,100,80,120,95,60,100,40,50,65,60,80,90,65,Sucha_Woda_Flood,2018-07-24
Site 10,49.2852,20.0463,982,27,17,90,70,75,70,120,75,45,50,100,65,50,60,80,65,55,50,55,70,55,45,55,80,55,80,75,Sucha_Woda_Flood,2018-07-24
Site 11,49.2855,20.0466,980,9,4,110,80,90,95,70,85,95,75,90,90,80,70,90,110,85,80,95,75,100,130,110,130,75,120,100,Sucha_Woda_Flood,2018-07-24
