Season,Profile ID,Instrument,Radar prod,netCDF,netCDF (Size),GIS,IMAGE
ANT 1997/98,19982101,EMR,600 ns pulse,19982101_stp10.nc,89.1 MBytes,19982101_stp10.kml,19982101_stp10.jpg
ANT 1997/98,19982102,EMR,600 ns pulse,19982102_stp10.nc,123.2 MBytes,19982102_stp10.kml,19982102_stp10.jpg
ANT 1997/98,19982201,EMR,600 ns pulse,19982201_stp10.nc,21 MBytes,19982201_stp10.kml,19982201_stp10.jpg
ANT 1997/98,19982202,EMR,600 ns pulse,19982202_stp10.nc,7.9 MBytes,19982202_stp10.kml,19982202_stp10.jpg
ANT 1997/98,19982203,EMR,600 ns pulse,19982203_stp10.nc,20 MBytes,19982203_stp10.kml,19982203_stp10.jpg
ANT 1997/98,19982204,EMR,600 ns pulse,19982204_stp10.nc,61.1 MBytes,19982204_stp10.kml,19982204_stp10.jpg
ANT 1997/98,19982205,EMR,600 ns pulse,19982205_stp10.nc,66.1 MBytes,19982205_stp10.kml,19982205_stp10.jpg
ANT 1997/98,19982206,EMR,600 ns pulse,19982206_stp10.nc,44.3 MBytes,19982206_stp10.kml,19982206_stp10.jpg
ANT 1997/98,19982207,EMR,600 ns pulse,19982207_stp10.nc,101.2 MBytes,19982207_stp10.kml,19982207_stp10.jpg
ANT 1997/98,19982208,EMR,600 ns pulse,19982208_stp10.nc,58.5 MBytes,19982208_stp10.kml,19982208_stp10.jpg
ANT 1997/98,19982252,EMR,600 ns pulse,19982252_stp10.nc,43.9 MBytes,19982252_stp10.kml,19982252_stp10.jpg
ANT 1997/98,19982301,EMR,600 ns pulse,19982301_stp10.nc,48.4 MBytes,19982301_stp10.kml,19982301_stp10.jpg
ANT 1997/98,19982302,EMR,600 ns pulse,19982302_stp10.nc,72.2 MBytes,19982302_stp10.kml,19982302_stp10.jpg
ANT 1997/98,19982402,EMR,600 ns pulse,19982402_stp10.nc,39.7 MBytes,19982402_stp10.kml,19982402_stp10.jpg
ANT 1997/98,19982404,EMR,600 ns pulse,19982404_stp10.nc,56.6 MBytes,19982404_stp10.kml,19982404_stp10.jpg
ANT 1997/98,19982405,EMR,600 ns pulse,19982405_stp10.nc,114 MBytes,19982405_stp10.kml,19982405_stp10.jpg
ANT 1997/98,19982406,EMR,600 ns pulse,19982406_stp10.nc,56.4 MBytes,19982406_stp10.kml,19982406_stp10.jpg
ANT 1997/98,19982407,EMR,600 ns pulse,19982407_stp10.nc,68.7 MBytes,19982407_stp10.kml,19982407_stp10.jpg
ANT 1997/98,19982408,EMR,600 ns pulse,19982408_stp10.nc,75.4 MBytes,19982408_stp10.kml,19982408_stp10.jpg
ANT 1997/98,19982418,EMR,600 ns pulse,19982418_stp10.nc,43.1 MBytes,19982418_stp10.kml,19982418_stp10.jpg
ANT 1997/98,19983001,EMR,60 ns pulse,19983001_stp10.nc,153.1 MBytes,19983001_stp10.kml,19983001_stp10.jpg
ANT 1997/98,19983002,EMR,60 ns pulse,19983002_stp10.nc,143.8 MBytes,19983002_stp10.kml,19983002_stp10.jpg
ANT 1997/98,19983003,EMR,60 ns pulse,19983003_stp10.nc,224.2 MBytes,19983003_stp10.kml,19983003_stp10.jpg
ANT 1997/98,19983004,EMR,60 ns pulse,19983004_stp10.nc,214.6 MBytes,19983004_stp10.kml,19983004_stp10.jpg
ANT 1997/98,19983005,EMR,60 ns pulse,19983005_stp10.nc,218.8 MBytes,19983005_stp10.kml,19983005_stp10.jpg
ANT 1997/98,19983006,EMR,60 ns pulse,19983006_stp10.nc,97.2 MBytes,19983006_stp10.kml,19983006_stp10.jpg
ANT 1997/98,19983007,EMR,60 ns pulse,19983007_stp10.nc,227.5 MBytes,19983007_stp10.kml,19983007_stp10.jpg
ANT 1997/98,19983008,EMR,60 ns pulse,19983008_stp10.nc,185.5 MBytes,19983008_stp10.kml,19983008_stp10.jpg
ANT 1997/98,19983009,EMR,60 ns pulse,19983009_stp10.nc,145.6 MBytes,19983009_stp10.kml,19983009_stp10.jpg
ANT 1997/98,19983010,EMR,60 ns pulse,19983010_stp10.nc,147.3 MBytes,19983010_stp10.kml,19983010_stp10.jpg
ANT 1997/98,19983011,EMR,60 ns pulse,19983011_stp10.nc,154.8 MBytes,19983011_stp10.kml,19983011_stp10.jpg
ANT 1997/98,19983012,EMR,60 ns pulse,19983012_stp10.nc,172.5 MBytes,19983012_stp10.kml,19983012_stp10.jpg
ANT 1997/98,19983013,EMR,60 ns pulse,19983013_stp10.nc,144.8 MBytes,19983013_stp10.kml,19983013_stp10.jpg
ANT 1997/98,19983014,EMR,60 ns pulse,19983014_stp10.nc,146.2 MBytes,19983014_stp10.kml,19983014_stp10.jpg
ANT 1997/98,19983015,EMR,60 ns pulse,19983015_stp10.nc,96.1 MBytes,19983015_stp10.kml,19983015_stp10.jpg
ANT 1997/98,19983016,EMR,60 ns pulse,19983016_stp10.nc,148.7 MBytes,19983016_stp10.kml,19983016_stp10.jpg
ANT 1997/98,19983017,EMR,60 ns pulse,19983017_stp10.nc,181.7 MBytes,19983017_stp10.kml,19983017_stp10.jpg
ANT 1997/98,19983018,EMR,60 ns pulse,19983018_stp10.nc,278.3 MBytes,19983018_stp10.kml,19983018_stp10.jpg
ANT 1997/98,19983019,EMR,60 ns pulse,19983019_stp10.nc,165.9 MBytes,19983019_stp10.kml,19983019_stp10.jpg
ANT 1997/98,19983051,EMR,60 ns pulse,19983051_stp10.nc,96.4 MBytes,19983051_stp10.kml,19983051_stp10.jpg
ANT 1997/98,19983052,EMR,60 ns pulse,19983052_stp10.nc,74.3 MBytes,19983052_stp10.kml,19983052_stp10.jpg
ANT 1997/98,19983053,EMR,60 ns pulse,19983053_stp10.nc,63.6 MBytes,19983053_stp10.kml,19983053_stp10.jpg
ANT 1997/98,19983054,EMR,60 ns pulse,19983054_stp10.nc,207.3 MBytes,19983054_stp10.kml,19983054_stp10.jpg
ANT 1997/98,19983055,EMR,60 ns pulse,19983055_stp10.nc,97.3 MBytes,19983055_stp10.kml,19983055_stp10.jpg
ANT 1997/98,19983056,EMR,60 ns pulse,19983056_stp10.nc,164.1 MBytes,19983056_stp10.kml,19983056_stp10.jpg
ANT 1997/98,19983057,EMR,60 ns pulse,19983057_stp10.nc,156.9 MBytes,19983057_stp10.kml,19983057_stp10.jpg
ANT 1997/98,19983058,EMR,60 ns pulse,19983058_stp10.nc,124.3 MBytes,19983058_stp10.kml,19983058_stp10.jpg
ANT 1997/98,19983059,EMR,60 ns pulse,19983059_stp10.nc,125.5 MBytes,19983059_stp10.kml,19983059_stp10.jpg
ANT 1997/98,19983060,EMR,60 ns pulse,19983060_stp10.nc,93.8 MBytes,19983060_stp10.kml,19983060_stp10.jpg
ANT 1997/98,19983061,EMR,60 ns pulse,19983061_stp10.nc,84.4 MBytes,19983061_stp10.kml,19983061_stp10.jpg
ANT 1997/98,19983062,EMR,60 ns pulse,19983062_stp10.nc,81.2 MBytes,19983062_stp10.kml,19983062_stp10.jpg
ANT 1997/98,19983063,EMR,60 ns pulse,19983063_stp10.nc,36.5 MBytes,19983063_stp10.kml,19983063_stp10.jpg
ANT 1997/98,19983064,EMR,60 ns pulse,19983064_stp10.nc,54.7 MBytes,19983064_stp10.kml,19983064_stp10.jpg
ANT 1997/98,19983065,EMR,60 ns pulse,19983065_stp10.nc,67.9 MBytes,19983065_stp10.kml,19983065_stp10.jpg
ANT 1997/98,19983066,EMR,60 ns pulse,19983066_stp10.nc,86.4 MBytes,19983066_stp10.kml,19983066_stp10.jpg
ANT 1997/98,19983067,EMR,60 ns pulse,19983067_stp10.nc,78.7 MBytes,19983067_stp10.kml,19983067_stp10.jpg
ANT 1997/98,19983068,EMR,60 ns pulse,19983068_stp10.nc,117.6 MBytes,19983068_stp10.kml,19983068_stp10.jpg
ANT 1997/98,19983069,EMR,60 ns pulse,19983069_stp10.nc,90.1 MBytes,19983069_stp10.kml,19983069_stp10.jpg
ANT 1997/98,19983070,EMR,60 ns pulse,19983070_stp10.nc,69.5 MBytes,19983070_stp10.kml,19983070_stp10.jpg
ANT 1997/98,19983101,EMR,60 ns pulse,19983101_stp10.nc,88.7 MBytes,19983101_stp10.kml,19983101_stp10.jpg
ANT 1997/98,19983102,EMR,60 ns pulse,19983102_stp10.nc,122 MBytes,19983102_stp10.kml,19983102_stp10.jpg
ANT 1997/98,19983201,EMR,60 ns pulse,19983201_stp10.nc,20.9 MBytes,19983201_stp10.kml,19983201_stp10.jpg
ANT 1997/98,19983202,EMR,60 ns pulse,19983202_stp10.nc,7.8 MBytes,19983202_stp10.kml,19983202_stp10.jpg
ANT 1997/98,19983203,EMR,60 ns pulse,19983203_stp10.nc,20.2 MBytes,19983203_stp10.kml,19983203_stp10.jpg
ANT 1997/98,19983204,EMR,60 ns pulse,19983204_stp10.nc,60.3 MBytes,19983204_stp10.kml,19983204_stp10.jpg
ANT 1997/98,19983205,EMR,60 ns pulse,19983205_stp10.nc,65.2 MBytes,19983205_stp10.kml,19983205_stp10.jpg
ANT 1997/98,19983206,EMR,60 ns pulse,19983206_stp10.nc,43.8 MBytes,19983206_stp10.kml,19983206_stp10.jpg
ANT 1997/98,19983207,EMR,60 ns pulse,19983207_stp10.nc,99.9 MBytes,19983207_stp10.kml,19983207_stp10.jpg
ANT 1997/98,19983208,EMR,60 ns pulse,19983208_stp10.nc,58.1 MBytes,19983208_stp10.kml,19983208_stp10.jpg
ANT 1997/98,19983251,EMR,60 ns pulse,19983251_stp10.nc,27.4 MBytes,19983251_stp10.kml,19983251_stp10.jpg
ANT 1997/98,19983252,EMR,60 ns pulse,19983252_stp10.nc,43.5 MBytes,19983252_stp10.kml,19983252_stp10.jpg
ANT 1997/98,19983253,EMR,60 ns pulse,19983253_stp10.nc,100 MBytes,19983253_stp10.kml,19983253_stp10.jpg
ANT 1997/98,19983254,EMR,60 ns pulse,19983254_stp10.nc,113.1 MBytes,19983254_stp10.kml,19983254_stp10.jpg
ANT 1997/98,19983255,EMR,60 ns pulse,19983255_stp10.nc,98.7 MBytes,19983255_stp10.kml,19983255_stp10.jpg
ANT 1997/98,19983256,EMR,60 ns pulse,19983256_stp10.nc,187.9 MBytes,19983256_stp10.kml,19983256_stp10.jpg
ANT 1997/98,19983257,EMR,60 ns pulse,19983257_stp10.nc,52.4 MBytes,19983257_stp10.kml,19983257_stp10.jpg
ANT 1997/98,19983258,EMR,60 ns pulse,19983258_stp10.nc,83.3 MBytes,19983258_stp10.kml,19983258_stp10.jpg
ANT 1997/98,19983351,EMR,60 ns pulse,19983351_stp10.nc,71.6 MBytes,19983351_stp10.kml,19983351_stp10.jpg
ANT 1997/98,19983401,EMR,60 ns pulse,19983401_stp10.nc,134.6 MBytes,19983401_stp10.kml,19983401_stp10.jpg
ANT 1997/98,19983402,EMR,60 ns pulse,19983402_stp10.nc,39.4 MBytes,19983402_stp10.kml,19983402_stp10.jpg
ANT 1997/98,19983403,EMR,60 ns pulse,19983403_stp10.nc,111.4 MBytes,19983403_stp10.kml,19983403_stp10.jpg
ANT 1997/98,19983404,EMR,60 ns pulse,19983404_stp10.nc,56.1 MBytes,19983404_stp10.kml,19983404_stp10.jpg
ANT 1997/98,19983406,EMR,60 ns pulse,19983406_stp10.nc,56 MBytes,19983406_stp10.kml,19983406_stp10.jpg
ANT 1997/98,19983407,EMR,60 ns pulse,19983407_stp10.nc,68.2 MBytes,19983407_stp10.kml,19983407_stp10.jpg
ANT 1997/98,19983408,EMR,60 ns pulse,19983408_stp10.nc,74.6 MBytes,19983408_stp10.kml,19983408_stp10.jpg
ANT 1997/98,19983409,EMR,60 ns pulse,19983409_stp10.nc,141.6 MBytes,19983409_stp10.kml,19983409_stp10.jpg
ANT 1997/98,19983410,EMR,60 ns pulse,19983410_stp10.nc,111.7 MBytes,19983410_stp10.kml,19983410_stp10.jpg
ANT 1997/98,19983411,EMR,60 ns pulse,19983411_stp10.nc,106.7 MBytes,19983411_stp10.kml,19983411_stp10.jpg
ANT 1997/98,19983412,EMR,60 ns pulse,19983412_stp10.nc,68.1 MBytes,19983412_stp10.kml,19983412_stp10.jpg
ANT 1997/98,19983413,EMR,60 ns pulse,19983413_stp10.nc,63.9 MBytes,19983413_stp10.kml,19983413_stp10.jpg
ANT 1997/98,19983414,EMR,60 ns pulse,19983414_stp10.nc,70.9 MBytes,19983414_stp10.kml,19983414_stp10.jpg
ANT 1997/98,19983416,EMR,60 ns pulse,19983416_stp10.nc,44 MBytes,19983416_stp10.kml,19983416_stp10.jpg
ANT 1997/98,19983417,EMR,60 ns pulse,19983417_stp10.nc,55.9 MBytes,19983417_stp10.kml,19983417_stp10.jpg
ANT 1997/98,19983418,EMR,60 ns pulse,19983418_stp10.nc,42.9 MBytes,19983418_stp10.kml,19983418_stp10.jpg
ANT 1997/98,19983454,EMR,60 ns pulse,19983454_stp10.nc,18.2 MBytes,19983454_stp10.kml,19983454_stp10.jpg
ANT 1997/98,19983456,EMR,60 ns pulse,19983456_stp10.nc,142.5 MBytes,19983456_stp10.kml,19983456_stp10.jpg
ANT 1997/98,19983457,EMR,60 ns pulse,19983457_stp10.nc,80.5 MBytes,19983457_stp10.kml,19983457_stp10.jpg
