Depth sed,Age,Uvigerina spp. δ13C,Uvigerina spp. δ18O,Event,Latitude,Longitude,Elevation,Date/Time
0.03,0.45,-0.407,3.025,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.08,0.85,0.093,2.933,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.13,1.25,0.069,2.972,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.18,1.65,-0.227,2.984,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.23,2.051,-0.107,2.96,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.28,2.412,-0.051,2.968,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.33,2.774,-0.848,2.87,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.38,3.136,-0.348,2.92,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.43,3.497,-0.416,2.937,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.48,3.859,-0.282,2.87,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.53,4.221,-0.293,2.887,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.58,4.582,-0.299,2.871,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.63,4.944,-0.226,2.877,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.68,5.306,-0.414,2.945,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.73,5.667,-0.332,2.838,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.78,6.029,-0.001,2.856,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.83,6.391,-0.251,2.802,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.88,6.753,-0.358,2.729,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.93,7.114,-0.139,2.842,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
0.98,7.476,-0.611,2.781,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.03,7.838,-0.177,2.825,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.08,8.199,-0.311,2.83,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.13,8.58,-0.592,3.005,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.18,8.96,-0.41,2.956,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.23,9.34,-0.58,3.157,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.28,9.721,-0.647,3.067,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.33,10.101,-0.736,3.148,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.38,10.481,-0.569,3.094,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.43,10.862,-0.623,2.885,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.48,11.242,-0.688,3.043,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.53,11.622,-0.942,3.036,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.58,12.003,-0.575,3.366,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.63,12.383,-0.751,3.483,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.68,12.763,-0.514,3.583,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.73,13.144,-0.919,3.746,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.78,13.524,-0.734,3.763,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.83,13.68,-0.785,3.596,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.88,13.836,-0.99,3.794,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.93,13.992,-0.917,3.78,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
1.98,14.147,-0.96,3.85,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.03,14.303,-1.105,3.188,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.08,14.459,-0.896,3.577,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.13,14.615,-0.788,3.211,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.18,14.771,-1.069,3.156,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.28,15.082,-1.035,2.838,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.33,15.238,-0.403,2.755,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.38,15.394,-0.987,3.175,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.43,15.55,-0.938,3.266,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.48,15.681,-0.668,3.642,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.53,15.811,-0.966,3.696,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.58,15.942,-0.859,3.861,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.63,16.072,-0.752,3.865,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.68,16.203,-0.922,3.844,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.73,16.333,-0.746,3.838,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.78,16.464,-0.768,4.066,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.83,16.594,-0.713,4.015,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.88,16.725,-0.75,3.963,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.93,16.856,-0.69,3.986,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
2.98,16.986,-0.743,4.088,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.03,17.117,-0.002,4.306,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.08,17.247,-0.651,3.909,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.13,17.378,-0.526,4.497,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.18,17.508,-0.413,4.418,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.23,17.639,-0.52,4.365,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.28,17.769,-0.373,4.183,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
