Event,Sample label,Half,Depth sed,Age,Cluster,SST,SST std dev,Latitude,Longitude,Elevation,Date/Time
383-U1539C,"383-U1539C-10H-1,143-145",Working (W),86.93,0.493022045,2.0,2.31821128,1.813301836,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-2,33-35",Working (W),87.33,0.496985137,2.0,2.09361306,1.842384837,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-3,4-6",Working (W),88.53,0.508874412,5.0,2.280776419,1.814103039,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-3,124-126",Working (W),89.73,0.520763686,2.0,2.477894783,1.9756447,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-4,15-17",Working (W),90.13,0.524726778,5.0,2.738703796,1.63516138,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-4,135-137",Working (W),91.33,0.5363855,2.0,1.800948508,1.60154243,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-5,66-68",Working (W),92.13,0.542724215,2.0,2.204799649,1.799333422,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-10H-5,146-148",Working (W),92.93,0.549062929,3.0,2.226908398,1.847088764,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539A,"383-U1539A-11H-7,30-32",Working (W),96.11,0.558563077,4.0,1.090487229,1.450751933,-56.151,-115.1341,-4071.08,2019-05-31 15:15:00
383-U1539C,"383-U1539C-11H-1,35-37",Working (W),95.35,0.564870098,5.0,2.874109679,1.600687871,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-2,85-87",Working (W),97.35,0.580716884,5.0,2.73608902,1.635233773,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-3,55-57",Working (W),98.55,0.590224955,5.0,2.180059917,1.861546122,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-4,25-27",Working (W),99.75,0.599733027,4.0,1.748140933,1.550887591,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-11H-4,65-67",Working (W),100.15,0.602902384,3.0,1.553264847,1.309359103,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
