Event,Latitude,Longitude,Depth sed,Age,Age std dev,Age_2,SR,Acc rate,TOC,TIC,TN,δ13C,δ15N,>63 µm,63-2 µm,<2 µm,Elevation,Date/Time
NPAL04,77.9109,31.2962,0.005,,,,,,2.22309061648076,0.427809758959161,0.330057193747906,-22.961416,5.71209,10.10995,82.731295,7.158755,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.015,,,,,,2.25265300660865,0.342090669650322,0.321312541467723,-22.92155,5.80602,,,,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.025,,,,,,2.26294430323584,0.323106313380618,0.320000130598918,-23.074095,5.70825,4.05305,70.44865,25.4983,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.035,,,,,,2.22839487119275,0.370134723822828,0.323230825297381,-22.93239,5.66096,,,,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.045,,,,,,2.23183510151538,0.314663935619894,0.311791139578667,-23.109993,5.641425,4.74735,69.41905,25.8336,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.055,,,,,,2.16212832742182,0.382621552163995,0.313572824760173,-23.073359,5.58456,,,,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.065,,,,,,2.18933863172923,0.332836631260823,0.308598487561697,-23.102077,5.65987,6.02244999999999,68.1813,25.79625,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.075,,,,,,1.98194804953023,0.341825326610801,0.279501098260438,-23.18191,5.56889,,,,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.085,,,,,,1.84293486114864,0.313336314050284,0.252396211691843,-23.354385,5.6284,7.84305000000001,66.84905,25.3079,-232.21,2018-09-28 19:07:00
NPAL04,77.9109,31.2962,0.095,,,,,,1.87914483512031,0.267138654800405,0.246260354330023,-23.4808195,5.574425,,,,-232.21,2018-09-28 19:07:00
NPAL05,78.768,33.9857,0.0,2019.0,0.0,-0.069,,,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.005,2018.0,1.0,-0.068,0.27,950.0,1.52669872484024,0.450319295544274,0.240138688120652,-23.342881,6.80747,0.705399999999997,86.5623,12.7323,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.015,,,,,,1.50117849040866,0.436134241758791,0.239714905988069,-23.258775,6.89169,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.025,2010.0,1.0,-0.06,0.23,860.0,1.53608695449428,0.415060376295487,0.239202898301749,-23.275825,6.77383,0.767750000000007,82.15255,17.0796,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.035,2004.0,2.0,-0.054,0.18,720.0,1.60749455259478,0.44818348071212,0.242635806415759,-23.697444,6.61839,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.045,1998.0,2.0,-0.048,0.15,640.0,1.58626496818095,0.42522326395455,0.245586300030033,-23.34146,6.600985,2.13595000000001,88.511895,9.352155,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.055,1991.0,3.0,-0.041,0.14,640.0,1.64651891809998,0.366088732064875,0.241800586174149,-23.463614,6.51821,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.065,1983.0,4.0,-0.033,0.13,660.0,1.60194694541457,0.34027058895663,0.232182712741766,-23.40473,6.46463,0.862249999999989,70.35025,28.7875,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.075,1975.0,5.0,-0.025,0.11,600.0,1.56845715699616,0.352212994190395,0.228209270595025,-23.402234,6.56084,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.085,1966.0,7.0,-0.016,0.13,740.0,1.55825036479292,0.291720271626037,0.221657808281292,-23.329454,6.63833,1.11494999999999,69.5191,29.36595,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.095,1961.0,8.0,-0.011,0.23,1290.0,1.49253974032888,0.323054006931325,0.211265143142218,-23.402599,6.60036,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.115,1953.0,8.0,-0.003,0.2,1170.0,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.135,1941.0,11.0,0.009,0.18,1050.0,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.145,1936.0,11.0,0.014,0.16,910.0,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.155,1928.0,11.0,0.022,0.12,650.0,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL05,78.768,33.9857,0.165,1919.0,11.0,0.031,0.11,650.0,,,,,,,,,-301.31,2018-09-29 16:27:00
NPAL07,79.6787,33.8118,0.0,2019.0,0.0,-0.069,,,,,,,,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.005,2016.0,1.0,-0.066,0.19,570.0,1.42350856642677,0.953087825964945,0.27249780373023,-23.5992271420922,6.33690127311931,1.63589999999999,87.31565,11.04845,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.015,2011.0,1.0,-0.061,0.19,650.0,1.32421385215777,0.924787067657991,0.262009003845739,-23.1467953811057,6.48197278207954,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.025,2006.0,2.0,-0.056,0.17,660.0,1.33334381231526,0.878339193954516,0.260804972775347,-23.0592870509877,6.44025455519884,3.28149999999999,86.0597,10.6588,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.035,1999.0,2.0,-0.049,0.14,560.0,1.41186041136402,0.861219391625875,0.265505544683627,-23.0976224636353,6.1583752,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.045,1991.0,3.0,-0.041,0.13,550.0,1.46816022372945,0.87976474228543,0.270127065714623,-22.9872615279439,6.0428643417585,0.0450000000000017,84.52585,15.42915,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.055,1983.0,3.0,-0.033,0.18,800.0,1.52402930001559,0.811416269327655,0.266190825741866,-23.1810578762828,5.99767661039768,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.065,1980.0,4.0,-0.03,0.24,1090.0,1.47421166332996,0.818725013535228,0.26076803424782,-22.9814578762828,6.14588026415907,0.0408000000000044,87.02965,12.92955,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.075,1975.0,4.0,-0.025,0.1,450.0,1.48328993176752,0.660547608112877,0.243831622668637,-23.1826104818562,6.37291203871583,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.085,1960.0,6.0,-0.01,0.06,260.0,1.38158071517156,0.646195701499915,0.225055937779152,-22.9294193446639,6.51505689391467,0.0397000000000105,70.34225,29.61805,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.095,1940.0,8.0,0.01,0.05,260.0,1.41092834074012,0.588526320519678,0.213549730767097,-23.2230946013629,6.70880595395299,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.105,1920.0,12.0,0.03,0.05,260.0,1.29754326676502,0.605197235928532,0.213476711057461,-22.7820682916751,6.30215,,,,-353.41,2018-09-30 16:13:00
NPAL07,79.6787,33.8118,0.125,1878.0,23.0,0.072,0.05,260.0,1.32751121103633,0.585268900448484,0.215610624602618,-22.807777753351,6.36647,,,,-353.41,2018-09-30 16:13:00
