Event,Depth sed,Age,Diatoms,Diatom warm,Diatoms cold,Diatoms ice-neritic,Diatom sea ice,Diatoms sublitt,Diatom fw,Diatom fossil,A. septentrionalis,F. oceanica,B. bathyomphala,P. glacialis,T. gravida,T. nordenskioeldii,P. sulcata,T. angustelineata,T. baltica,T. eccentrica,A. curvatulus,A. divisus,C. asteromphalus,C. radiatus,S. oestrupii,T. nitzschioides,A. islandica,A. subarctica,C. meneghiniana,G. parvulum,N. seminae,H. polymorphus,E. turris,P. caput-avis var. gracilis,C. ferox,T. undulosa,Latitude,Longitude,Elevation,Date/Time
AMK75-6150,0.005,0.062,471639.01,79.55,13.64,1.52,4.55,2.27,0.0,0.0,3.79,0.76,0.0,0.76,0.0,0.0,1.52,0.0,3.79,6.82,0.0,0.0,0.0,46.97,3.03,25.0,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.015,0.138,337637.63,92.63,4.21,1.05,1.05,3.16,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1.05,1.05,0.0,0.0,0.0,62.11,2.11,25.26,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.025,0.216,472615.16,68.75,20.0,5.0,1.25,7.5,0.0,0.0,1.25,0.0,0.0,0.0,1.25,0.0,6.25,1.25,5.0,1.25,2.5,0.0,1.25,36.25,0.0,28.75,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.035,0.295,661443.86,75.0,18.75,1.79,0.89,7.14,1.79,0.0,0.89,0.0,0.0,0.0,0.89,0.0,5.36,6.25,2.68,1.79,1.79,0.0,0.89,41.96,0.89,18.75,0.89,0.0,0.89,0.0,11.61,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.045,0.379,500356.64,65.48,22.62,7.14,0.0,3.57,2.38,0.0,0.0,0.0,1.19,2.38,1.19,0.0,2.38,5.95,7.14,0.0,4.76,1.19,0.0,30.95,0.0,27.38,0.0,2.38,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.055,0.468,263400.72,70.45,15.91,0.0,2.27,11.36,2.27,0.0,0.0,2.27,0.0,0.0,0.0,0.0,6.82,0.0,2.27,0.0,4.55,0.0,2.27,40.91,0.0,27.27,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.065,0.555,390299.95,86.57,13.43,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,4.48,1.49,2.99,0.0,0.0,41.79,1.49,41.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.075,0.641,433045.81,77.63,17.11,2.63,0.0,2.63,1.32,0.0,0.0,0.0,0.0,0.0,1.32,1.32,1.32,0.0,7.89,0.0,6.58,0.0,0.0,38.16,0.0,39.47,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.085,0.726,693008.07,78.81,14.41,5.93,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.85,1.69,0.85,1.69,0.0,7.63,1.69,2.54,1.69,0.0,39.83,0.0,36.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
AMK75-6150,0.095,0.81,653065.03,87.27,7.27,4.55,0.91,0.91,0.0,0.0,0.91,0.0,0.0,0.0,1.82,0.0,0.91,0.0,4.55,0.91,0.91,4.55,0.0,44.55,0.91,37.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.779983,8.435083,-3013.0,
