Campaign,Activity,Event,Date/Time,Latitude,Longitude,Device,Sec label,Sec comm,Depth desc,Depth ice/snow,Chl a,Phae,Elevation
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M8,top 00-10 cm,0 - 10,0.1,0.045,0.05,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M7,top 10- 20 cm,10 - 20.3,0.203,0.032,0.163,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M6,top 20- 30 cm,20.3 - 30,0.3,0.036,0.27,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M5,middle of ice_core (between top/ bottom),30 - 42.5,0.425,0.071,0.208,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M4,middle of ice_core (between top/ bottom),42.5 - 58,0.58,0.204,0.25,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M3,bottom 10- 20 cm,58 - 68,0.68,0.586,0.402,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M2,bottom 05- 10 cm,68 - 73,0.73,1.049,0.591,-4379.2
MOSAiC,5,PS122/1_5-78,2019-10-28,85.551,126.3299,Ice Corer Kovacs Mark II,M1,bottom 00- 05 cm,73 - 78,0.78,1.13,0.365,-4379.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M6,top 00-10 cm,0 - 10,0.1,0.093,0.121,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M5b,top 10- 20 cm,10 - 20,0.2,0.083,0.26,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M5,top 20- 30 cm,20 - 30,0.3,0.119,0.285,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M4b,top 30- 40 cm,30 - 40,0.4,0.184,0.171,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M4,middle of ice_core (between top/ bottom),40 - 49.7,0.497,0.291,0.089,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M3b,bottom 20- 30 cm,49.7 - 59.8,0.598,0.282,0.115,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M2,bottom 05- 10 cm,69.7 - 74.7,0.747,0.928,0.51,-4407.2
MOSAiC,6,PS122/1_6-36,2019-11-04,85.9491,120.0196,Ice Corer Kovacs Mark II,M1,bottom 00- 05 cm,74.7 - 79.7,0.797,0.442,0.086,-4407.2
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M8,top 00-10 cm,0 - 10,0.1,0.103,0.209,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M6,top 30- 40 cm,20 - 30,0.3,0.124,0.132,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M5,top 40- 50 cm,30 - 40,0.4,0.192,0.181,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M4,middle of ice_core (between top/ bottom),40 - 49,0.49,0.189,0.112,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M3,middle of ice_core (between top/ bottom),49 - 59,0.59,0.284,0.12,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M2,bottom 20- 30 cm,59 - 69.2,0.692,0.329,0.083,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M1,bottom 10- 20 cm,69.2 - 79.2,0.792,1.082,0.889,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M2bott,bottom 05- 10 cm,79.2 - 84.2,0.842,0.457,0.103,-4413.1
MOSAiC,7,PS122/1_7-9,2019-11-11,85.869,116.2093,Ice Corer Kovacs Mark II,M1bott,bottom 00- 05 cm,84.2 - 89.7,0.897,0.247,0.059,-4413.1
