Depth sed,Depth sed top,Depth sed bot,210Pb,210Pb std dev,210Pb sup,210Pb sup std dev,210Pb unsup,210Pb unsup std dev,137Cs,137Cs std dev,Event,Latitude,Longitude,Elevation,Date/Time
0.0025,0.0,0.005,147.1,6.9,38.9,3.1,108.2,7.6,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0125,0.01,0.015,126.9,6.3,38.9,3.1,88.0,7.1,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0225,0.02,0.025,132.5,6.5,38.9,3.1,93.6,7.2,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0325,0.03,0.035,99.9,5.1,38.9,3.1,61.0,6.0,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0425,0.04,0.045,79.2,4.1,38.9,3.1,40.3,5.1,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0525,0.05,0.055,111.1,5.9,38.9,3.1,72.2,6.6,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0625,0.06,0.065,104.9,5.2,38.9,3.1,66.0,6.0,5.82,1.79,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0725,0.07,0.075,99.2,5.0,38.9,3.1,60.3,5.9,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0825,0.08,0.085,112.4,5.9,38.9,3.1,73.5,6.7,3.01,1.14,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.0925,0.09,0.095,91.6,5.1,38.9,3.1,52.7,6.0,5.0,2.37,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1025,0.1,0.105,89.1,5.0,38.9,3.1,50.2,5.9,6.57,2.3,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1125,0.11,0.115,69.3,4.0,38.9,3.1,30.4,5.1,19.8,2.04,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1225,0.12,0.125,65.6,4.1,38.9,3.1,26.7,5.1,19.5,3.8,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1325,0.13,0.135,66.7,4.1,38.9,3.1,27.8,5.2,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1425,0.14,0.145,57.3,3.8,38.9,3.1,18.4,4.9,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1525,0.15,0.155,52.2,3.4,38.9,3.1,13.3,4.6,3.4,1.6,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1625,0.16,0.165,45.3,3.1,38.9,3.1,6.4,4.4,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1725,0.17,0.175,44.0,3.0,38.9,3.1,5.1,4.3,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1825,0.18,0.185,37.8,2.9,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.1925,0.19,0.195,38.6,3.0,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.205,0.2,0.21,43.6,3.1,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.215,0.21,0.22,35.9,2.8,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.225,0.22,0.23,37.4,2.9,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.235,0.23,0.24,41.0,3.0,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.245,0.24,0.25,41.0,3.0,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.255,0.25,0.26,35.5,2.6,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.265,0.26,0.27,34.9,2.8,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.275,0.27,0.28,41.5,3.2,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
0.285,0.28,0.29,35.8,2.9,38.9,3.1,,,,,LSMo22-1,21.365278,-104.568333,750.0,2022-04-08
