Depth sed,Depth sed top,Depth sed bot,210Pb,210Pb std dev,210Pb sup,210Pb sup std dev,210Pb unsup,210Pb unsup std dev,Event,Latitude,Longitude,Elevation,Date/Time
0.0025,0.0,0.005,112.5,6.1,48.4,4.3,64.1,7.5,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0075,0.005,0.01,122.2,5.8,48.4,4.3,73.8,7.2,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0175,0.015,0.02,118.0,5.9,48.4,4.3,69.6,7.3,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0275,0.025,0.035,159.9,9.3,48.4,4.3,111.5,10.2,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0375,0.035,0.045,168.5,8.2,48.4,4.3,120.1,9.3,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0475,0.045,0.055,171.2,7.6,48.4,4.3,122.8,8.7,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0575,0.055,0.065,153.5,7.0,48.4,4.3,105.1,8.2,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.07,0.065,0.075,135.4,6.5,48.4,4.3,87.0,7.8,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.08,0.075,0.085,144.7,6.8,48.4,4.3,96.3,8.1,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0875,0.085,0.09,119.3,6.0,48.4,4.3,70.9,7.4,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.0975,0.095,0.1,109.9,6.0,48.4,4.3,61.5,7.4,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.105,0.1,0.11,114.7,5.6,48.4,4.3,66.3,7.1,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.115,0.11,0.12,96.1,5.4,48.4,4.3,47.7,6.9,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.125,0.12,0.13,108.4,5.7,48.4,4.3,60.0,7.2,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.135,0.13,0.14,105.6,5.7,48.4,4.3,57.2,7.2,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.145,0.14,0.15,81.7,4.6,48.4,4.3,33.3,6.3,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.155,0.15,0.16,68.2,4.1,48.4,4.3,19.8,5.9,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.165,0.16,0.17,61.4,3.8,48.4,4.3,13.0,5.8,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.175,0.17,0.18,55.3,3.6,48.4,4.3,6.9,5.6,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.185,0.18,0.19,47.2,3.2,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.195,0.19,0.2,48.9,3.3,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.205,0.2,0.21,55.6,3.6,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.215,0.21,0.22,42.5,3.1,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.225,0.22,0.23,48.6,3.3,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
0.235,0.23,0.24,47.3,3.3,48.4,4.3,,,LTp22-1,21.277661,-104.690167,1430.0,2022-04-08
